CAS,CID,MolecularFormula,MolecularWeight,IUPACName
601-57-0,91477,C27H44O,384.6,"(8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one"
541-02-6,10913,C10H30O5Si5,370.77,"2,2,4,4,6,6,8,8,10,10-decamethyl-1,3,5,7,9,2,4,6,8,10-pentaoxapentasilecane"
53-43-0,5881,C19H28O2,288.4,"(3S,8R,9S,10R,13S,14S)-3-hydroxy-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one"
5051-22-9,21138,C16H21NO2,259.34,(2R)-1-naphthalen-1-yloxy-3-(propan-2-ylamino)propan-2-ol
540-97-6,10911,C12H36O6Si6,444.92,"2,2,4,4,6,6,8,8,10,10,12,12-dodecamethyl-1,3,5,7,9,11-hexaoxa-2,4,6,8,10,12-hexasilacyclododecane"
481-29-8,441302,C19H30O2,290.4,"(3S,5S,8R,9S,10S,13S,14S)-3-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-17-one"
104746-04-5,9881504,C15H14N2O2,254.28,"(5S)-5-hydroxy-5,6-dihydrobenzo[b][1]benzazepine-11-carboxamide"
5696-58-2,5288172,C18H26O2,274.4,"(5S,8R,9R,10S,13S,14S)-13-methyl-1,2,4,5,6,7,8,9,10,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthrene-3,17-dione"
69335-91-7,91701,C15H12F3NO4,327.25,2-[4-[[5-(trifluoromethyl)-2-pyridinyl]oxy]phenoxy]propanoic acid
2631-40-5,17517,C11H15NO2,193.24,(2-propan-2-ylphenyl) N-methylcarbamate
84057-84-1,3878,C9H7Cl2N5,256.09,"6-(2,3-dichlorophenyl)-1,2,4-triazine-3,5-diamine"
29331-92-8,114709,C15H14N2O2,254.28,"5-hydroxy-5,6-dihydrobenzo[b][1]benzazepine-11-carboxamide"
537-46-2,10836,C10H15N,149.23,(2S)-N-methyl-1-phenylpropan-2-amine
93413-62-8,125017,C16H25NO2,263.37,4-[2-(dimethylamino)-1-(1-hydroxycyclohexyl)ethyl]phenol
28721-07-5,34312,C15H12N2O2,252.27,5-oxo-6H-benzo[b][1]benzazepine-11-carboxamide
60207-90-1,43234,C15H17Cl2N3O2,342.2,"1-[[2-(2,4-dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl]methyl]-1,2,4-triazole"
525-66-6,4946,C16H21NO2,259.34,1-naphthalen-1-yloxy-3-(propan-2-ylamino)propan-2-ol
122-34-9,5216,C7H12ClN5,201.66,"6-chloro-2-N,4-N-diethyl-1,3,5-triazine-2,4-diamine"
3930-20-9,5253,C12H20N2O3S,272.37,N-[4-[1-hydroxy-2-(propan-2-ylamino)ethyl]phenyl]methanesulfonamide
144-83-2,5336,C11H11N3O2S,249.29,4-amino-N-pyridin-2-ylbenzenesulfonamide
107534-96-3,86102,C16H22ClN3O,307.82,"1-(4-chlorophenyl)-4,4-dimethyl-3-(1,2,4-triazol-1-ylmethyl)pentan-3-ol"
34014-18-1,5383,C9H16N4OS,228.32,"1-(5-tert-butyl-1,3,4-thiadiazol-2-yl)-1,3-dimethylurea"
126-73-8,31357,C12H27O4P,266.31,tributyl phosphate
738-70-5,5578,C14H18N4O3,290.32,"5-[(3,4,5-trimethoxyphenyl)methyl]pyrimidine-2,4-diamine"
