Chem_name,CAS,consensus_2_agonist,Potency_class_2_agonist,consensus_2_antagonist,Potency_class_2_antagonist
Formaldehyde,50-00-0,0,Inactive,0,Inactive
Carbon monoxide,630-08-0,0,Inactive,0,Inactive
Chromium carbonyl,13007-92-6,0,Inactive,0,Inactive
Nickel carbonyl,13463-39-3,0,Inactive,0,Inactive
"Iron carbonyl (Fe(CO)5), (TB-5-11)-",13463-40-6,0,Inactive,0,Inactive
Paraformaldehyde,30525-89-4,0,Inactive,0,Inactive
octacarbonyldicobalt,10210-68-1,0,Inactive,0,Inactive
Nickel carbonyl,12612-55-4,0,Inactive,0,Inactive
tri-?-carbonyltetracarbonyl(pentacarbonyldicobalt)dirhodium,50696-78-1,0,Inactive,0,Inactive
Dexamethasone,50-02-2,1,Moderate,1,Weak
Betamethasone,378-44-9,1,Moderate,1,Weak
"(11beta)-9-fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione",1249-18-9,1,Moderate,1,Weak
Hydrocortisone acetate,50-03-3,1,VeryWeak,1,VeryWeak
Cortisone acetate,50-04-4,1,VeryWeak,1,VeryWeak
Phenobarbital,50-06-6,0,Inactive,0,Inactive
Phenobarbital sodium,57-30-7,0,Inactive,0,Inactive
Mitomycin C,50-07-7,0,Inactive,0,Inactive
MITOMYCIN,1404-00-8,0,Inactive,0,Inactive
Oxyphenonium bromide,50-10-2,0,Inactive,0,Inactive
Oxyphenonium,14214-84-7,0,Inactive,0,Inactive
Methocidin,1407-05-2,0,Inactive,0,Inactive
Metharbital,50-11-3,0,Inactive,0,Inactive
Mephenytoin,50-12-4,0,Inactive,0,Inactive
(S)-Mephenytoin,70989-04-7,0,Inactive,0,Inactive
Ergocalciferol,50-14-6,0,Suspicious,0,Inactive
ERGOCALCIFEROL,31316-19-5,0,Suspicious,0,Inactive
Cyclophosphamide,50-18-0,0,Suspicious,0,Suspicious
Cyclophosphamide monohydrate,6055-19-2,0,Suspicious,0,Suspicious
Cyclophosphamide,60007-96-7,0,Suspicious,0,Suspicious
Lactic acid,50-21-5,0,Inactive,0,Inactive
Sodium dl-lactate,72-17-3,0,Inactive,0,Inactive
L-Lactic acid,79-33-4,0,Inactive,0,Inactive
Dihydroxyacetone,96-26-4,0,Inactive,0,Inactive
Ammonium lactate,515-98-0,0,Inactive,0,Inactive
Calcium lactate,814-80-2,0,Inactive,0,Inactive
Sodium l-lactate,867-56-1,0,Inactive,0,Inactive
"Lactic acid, calcium salt, hydrate (2:1:5)",5743-47-5,0,Inactive,0,Inactive
D-Lactic acid,10326-41-7,0,Inactive,0,Inactive
Sodium zirconium lactic acid (4:4:1),10377-98-7,0,Inactive,0,Inactive
Aluminum lactate,18917-91-4,0,Inactive,0,Inactive
Magnesium bis[(2S)-2-hydroxypropanoate],18917-93-6,0,Inactive,0,Inactive
LACTATE,113-21-3,0,Inactive,0,Inactive
LACTIC ACID,152-36-3,0,Inactive,0,Inactive
dl-lactic acid,598-82-3,0,Inactive,0,Inactive
lithium lactate,867-55-0,0,Inactive,0,Inactive
potassium lactate,996-31-6,0,Inactive,0,Inactive
iron dilactate,5905-52-2,0,Inactive,0,Inactive
copper dilactate,16039-52-4,0,Inactive,0,Inactive
zinc dilactate,16039-53-5,0,Inactive,0,Inactive
cobalt dilactate,16039-54-6,0,Inactive,0,Inactive
lead dilactate,18917-82-3,0,Inactive,0,Inactive
"bis(lactato-O1,O2)mercury",18917-83-4,0,Inactive,0,Inactive
Poly-L-lactic acid,26811-96-1,0,Inactive,0,Inactive
calcium (S)-2-hydroxypropionate,28305-25-1,0,Inactive,0,Inactive
strontium dilactate,29870-99-3,0,Inactive,0,Inactive
manganese lactate,51877-53-3,0,Inactive,0,Inactive
potassium (S)-lactate,85895-78-9,0,Inactive,0,Inactive
"(S)-bis(lactato-O1,O2)iron",85993-25-5,0,Inactive,0,Inactive
Prenylamine lactate,69-43-2,0,Inactive,0,Inactive
Lactic Acid Lactate,617-57-2,0,Inactive,0,Inactive
Corticosterone,50-22-6,1,VeryWeak,1,Moderate
Hydrocortisone,50-23-7,1,VeryWeak,1,Weak
Prednisolone,50-24-8,1,VeryWeak,1,Weak
Estriol,50-27-1,1,Strong,1,Strong
epiestriol,547-81-9,1,Strong,1,Strong
17-Epiestriol,1228-72-4,1,Strong,1,Strong
17beta-Estradiol,50-28-2,1,Strong,1,Strong
17alpha-Estradiol,57-91-0,1,Strong,1,Strong
Estradiol,35380-71-3,1,Strong,1,Strong
"p,p'-DDT",50-29-3,1,VeryWeak,1,Moderate
"2,6-Dichlorobenzoic acid",50-30-6,0,Inactive,0,Inactive
"2,3,6-Trichlorobenzoic acid",50-31-7,0,Inactive,0,Inactive
"Sodium 2,3,6-trichlorobenzoate",2078-42-4,0,Inactive,0,Inactive
"2,3,6-trichlorobenzoic acid, compound with dimethylamine (1:1)",3426-62-8,0,Inactive,0,Inactive
Benzo(a)pyrene,50-32-8,0,Suspicious,0,Suspicious
Phenylbutazone,50-33-9,0,Inactive,0,Inactive
"4-butyl-1,2-diphenylpyrazolidine-3,5-dione, sodium salt",129-18-0,0,Inactive,0,Inactive
CLOFEZONE,60104-29-2,0,Inactive,0,Inactive
Propantheline bromide,50-34-0,0,Inactive,0,Inactive
Propanthelin,298-50-0,0,Inactive,0,Inactive
Thalidomide,50-35-1,0,Inactive,0,Inactive
(-)-Thalidomide,841-67-8,0,Inactive,0,Inactive
(+)-Thalidomide,2614-06-4,0,Inactive,0,Inactive
Cocaine,50-36-2,0,Inactive,0,Inactive
(-)-Cocaine hydrochloride,53-21-4,0,Inactive,0,Inactive
Allococaine,21030-42-2,0,Inactive,0,Inactive
Lysergide,50-37-3,0,Inactive,0,Inactive
Clomiphene citrate,50-41-9,0,Inactive,0,Moderate
Clomiphene,911-45-5,0,Inactive,0,Moderate
ZUCLOMIFENE,15690-55-8,0,Inactive,0,Moderate
ENCLOMIFENE,15690-57-0,0,Inactive,0,Moderate
Adiphenine hydrochloride,50-42-0,0,Inactive,0,Inactive
Adiphenine,64-95-9,0,Inactive,0,Inactive
6-Mercaptopurine,50-44-2,0,Inactive,0,Inactive
"2,3-Dichlorobenzoic acid",50-45-3,0,Inactive,0,Inactive
Desipramine,50-47-5,0,Suspicious,0,Suspicious
Desipramine hydrochloride,58-28-6,0,Suspicious,0,Suspicious
Amitriptyline,50-48-6,0,Suspicious,0,Suspicious
Amitriptyline hydrochloride,549-18-8,0,Suspicious,0,Suspicious
Imipramine,50-49-7,0,Inactive,0,Inactive
Imipramine hydrochloride,113-52-0,0,Inactive,0,Inactive
Estradiol benzoate,50-50-0,1,Moderate,1,Moderate
Thioridazine,50-52-2,0,Inactive,0,Inactive
Thioridazine hydrochloride,130-61-0,0,Inactive,0,Inactive
Chlorpromazine,50-53-3,0,Inactive,0,Inactive
Chlorpromazine hydrochloride,69-09-0,0,Inactive,0,Inactive
Reserpine,50-55-5,0,Inactive,0,Inactive
Cephaloridine,50-59-9,0,Inactive,0,Inactive
Phentolamine,50-60-2,0,Suspicious,0,Suspicious
phentolamine mesilate,65-28-1,0,Suspicious,0,Suspicious
Phentolamine hydrochloride,73-05-2,0,Suspicious,0,Suspicious
Chloroquine bis(phosphate),50-63-5,0,Inactive,0,Inactive
Chloroquine,54-05-7,0,Inactive,0,Inactive
"N4-(7-chloro-4-quinolyl)-N1,N1-diethylpentane-1,4-diamine dihydrochloride",3545-67-3,0,Inactive,0,Inactive
cloquinate,7270-12-4,0,Inactive,0,Inactive
Chloroquine diphosphate,67459-54-5,0,Inactive,0,Inactive
Niclosamide,50-65-7,0,Inactive,0,Inactive
Clonitralid,1420-04-8,0,Inactive,0,Inactive
D-Ribose,50-69-1,0,Inactive,0,Inactive
Arabinose,147-81-9,0,Inactive,0,Inactive
L-Arabinose,5328-37-0,0,Inactive,0,Inactive
D-arabinose,10323-20-3,0,Inactive,0,Inactive
D-Xylose,58-86-6,0,Inactive,0,Inactive
L-Arabinose,87-72-9,0,Inactive,0,Inactive
D-Lyxose,1114-34-7,0,Inactive,0,Inactive
D-Glucitol,50-70-4,0,Inactive,0,Inactive
D-Mannitol,69-65-8,0,Inactive,0,Inactive
D-Galactitol,608-66-2,0,Inactive,0,Inactive
L-Glucitol,6706-59-8,0,Inactive,0,Inactive
mannitol,87-78-5,0,Inactive,0,Inactive
"D-Glucitol, polymer with (chloromethyl)oxirane",29994-68-1,0,Inactive,0,Inactive
Polyoxyethylene sorbitol,31307-92-3,0,Inactive,0,Inactive
ALEXITOL SODIUM,66813-51-2,0,Inactive,0,Inactive
"d-Glucitol, reaction products with epichlorohydrin",68412-01-1,0,Inactive,0,Inactive
"D-Glucitol, polymer with methyloxirane, oxirane and 1,2,3-propanetriol",68541-81-1,0,Inactive,0,Inactive
"D-Glucitol, polymer with ethenylbenzene, methyloxirane, oxirane, 1,2,3-propanetriol and 2-propenenitrile",68650-94-2,0,Inactive,0,Inactive
Alloxan,50-71-5,0,Inactive,0,Inactive
"Pyrimidine-2,4,5,6(1H,3H)-tetrone tetrahydrate",6010-91-9,0,Inactive,0,Inactive
Aspirin,50-78-2,0,Inactive,0,Inactive
sodium O-acetylsalicylate,493-53-8,0,Inactive,0,Inactive
carbasalate calcium,5749-67-7,0,Inactive,0,Inactive
DL-lysine mono(o-acetoxybenzoate),62952-06-1,0,Inactive,0,Inactive
"2,5-Dichlorobenzoic acid",50-79-3,0,Inactive,0,Inactive
L-Ascorbic acid,50-81-7,0,Inactive,0,Inactive
Isoascorbic acid,89-65-6,0,Inactive,0,Inactive
Sodium L-ascorbate,134-03-2,0,Inactive,0,Inactive
Calcium L-ascorbate dihydrate,5743-28-2,0,Inactive,0,Inactive
Sodium erythorbate (1:1),6381-77-7,0,Inactive,0,Inactive
Sodium erythorbate (x:1),7378-23-6,0,Inactive,0,Inactive
Ascorbic/ Erythorbic parent,62624-30-0,0,Inactive,0,Inactive
"2,4-Dichlorobenzoic acid",50-84-0,0,Inactive,0,Inactive
Thymidine,50-89-5,0,Inactive,0,Inactive
Telbivudine,3424-98-4,0,Inactive,0,Inactive
Floxuridine,50-91-9,0,Inactive,0,Inactive
Ephedrine hydrochloride,50-98-6,0,Inactive,0,Inactive
Pseudoephedrine,90-82-4,0,Inactive,0,Inactive
Ephedrine sulfate,134-72-5,0,Inactive,0,Inactive
Ephedrine,299-42-3,0,Inactive,0,Inactive
"(R*,S*)-(+/-)-?-[1-(methylamino)ethyl]benzyl alcohol",90-81-3,0,Inactive,0,Inactive
"(R*,S*)-(+/-)-?-[1-(methylamino)ethyl]benzyl alcohol hydrochloride",134-71-4,0,Inactive,0,Inactive
pseudoephedrine hydrochloride,345-78-8,0,Inactive,0,Inactive
"[R-(R*,R*)-?-[1-(methylamino)ethyl]benzyl alcohol hydrochloride",670-40-6,0,Inactive,0,Inactive
"bis[[S-(R*,R*)]-(?-hydroxy-?-methylphenethyl)methylammonium] sulphate",7460-12-0,0,Inactive,0,Inactive
"Pseudoephedrine, (-)-",321-97-1,0,Inactive,0,Inactive
"Benzenemethanol, alpha-((1R)-1-(methylamino)ethy",321-98-2,0,Inactive,0,Inactive
D-Glucose,50-99-7,0,Inactive,0,Inactive
Galactose,59-23-4,0,Inactive,0,Inactive
D-Mannose,3458-28-4,0,Inactive,0,Inactive
DL-Glucose,58367-01-4,0,Inactive,0,Inactive
?-D-glucose,492-61-5,0,Inactive,0,Inactive
?-D-glucose,492-62-6,0,Inactive,0,Inactive
GALACTOSE,3646-73-9,0,Inactive,0,Inactive
beta-D-Galactose,7296-64-2,0,Inactive,0,Inactive
Beta-D-Mannose,7322-31-8,0,Inactive,0,Inactive
L-galactose,15572-79-9,0,Inactive,0,Inactive
Galactose,26566-61-0,0,Inactive,0,Inactive
"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",108942-17-2,0,Inactive,0,Inactive
Pronethalol hydrochloride,51-02-5,0,Suspicious,0,Inactive
Pronethalol,54-80-8,0,Suspicious,0,Inactive
Piperonyl butoxide,51-03-6,0,Inactive,0,Inactive
PIPOBROMAN,54-91-1,0,Inactive,0,Inactive
Procaine hydrochloride,51-05-8,0,Inactive,0,Inactive
Procaine,59-46-1,0,Inactive,0,Inactive
Procainamide,51-06-9,0,Inactive,0,Inactive
Procainamide hydrochloride,614-39-1,0,Inactive,0,Inactive
Nialamide,51-12-7,0,Inactive,0,Inactive
Sesamex,51-14-9,0,Inactive,0,Inactive
Pralidoxime chloride,51-15-0,0,Inactive,0,Inactive
Pralidoxime,6735-59-7,0,Inactive,0,Inactive
Pralidoxime iodide [USAN:INN:JAN],94-63-3,0,Inactive,0,Inactive
"PYRIDINIUM, 2-[(HYDROXYIMINO)METHYL]-1-METHYL-,",154-97-2,0,Inactive,0,Inactive
Benzimidazole,51-17-2,0,Inactive,0,Inactive
Triethylenemelamine,51-18-3,0,Inactive,0,Inactive
5-Fluorouracil,51-21-8,0,Inactive,0,Inactive
Tiratricol,51-24-1,1,VeryWeak,1,Weak
"2,4-Dinitrophenol",51-28-5,0,Inactive,0,Inactive
"2,4-Dinitrophenol sodium salt",1011-73-0,0,Inactive,0,Inactive
Isoproterenol hydrochloride,51-30-9,0,Suspicious,0,Suspicious
Levoisoproterenol,51-31-0,0,Suspicious,0,Suspicious
Levoisoproterenol hydrochloride,5984-95-2,0,Suspicious,0,Suspicious
Isoproterenol,7683-59-2,0,Suspicious,0,Suspicious
ISOPROTERENOL SULFATE,6700-39-6,0,Suspicious,0,Suspicious
Isoproterenol hydrochloride,949-36-0,0,Suspicious,0,Suspicious
Scopolamine,51-34-3,0,Inactive,0,Inactive
Scopolamine hydrochloride,55-16-3,0,Inactive,0,Inactive
Scopolamine hydrobromide,114-49-8,0,Inactive,0,Inactive
(-)-Scopolamine,138-12-5,0,Inactive,0,Inactive
Scopolamine hydrobromide trihydrate,6533-68-2,0,Inactive,0,Inactive
"3,5-Dichlorobenzoic acid",51-36-5,0,Inactive,0,Inactive
Norepinephrine,51-41-2,0,Suspicious,0,Inactive
Norepinephrine bitartrate,69815-49-2,0,Suspicious,0,Inactive
norepinephrine hydrogen tartrate,51-40-1,0,Suspicious,0,Inactive
NORADRENALINE (HCL),55-27-6,0,Suspicious,0,Inactive
dl-Norepinephrine,138-65-8,0,Suspicious,0,Inactive
Epinephrine bitartrate,51-42-3,0,Suspicious,0,Suspicious
Epinephrine,51-43-4,0,Suspicious,0,Suspicious
l-Epinephrine hydrochloride,55-31-2,0,Suspicious,0,Suspicious
"(R,S)-Epinephrine hydrochloride",329-63-5,0,Suspicious,0,Suspicious
racepinefrine,329-65-7,0,Suspicious,0,Suspicious
"Benzyl alcohol, 3,4-dihydroxy-alpha-((methylamin",150-05-0,0,Suspicious,0,Suspicious
"3,4-Dichlorobenzoic acid",51-44-5,0,Inactive,0,Inactive
Histamine,51-45-6,0,Inactive,0,Inactive
Histamine Phosphate,51-74-1,0,Inactive,0,Inactive
2-imidazol-4-ylethylamine dihydrochloride,56-92-8,0,Inactive,0,Inactive
Histamine phosphate,6890-40-0,0,Inactive,0,Inactive
MYLERLAN,55-98-1,0,Inactive,0,Inactive
"1,3,6,8-Tetraazatricyclo[4.4.1.13,8]dodecane",51-46-7,0,Inactive,0,Inactive
Levothyroxine,51-48-9,1,VeryWeak,1,VeryWeak
Thyroxine,7488-70-2,1,VeryWeak,1,VeryWeak
Dextrothyroxine,51-49-0,1,VeryWeak,1,VeryWeak
levothyroxine sodium,55-03-8,1,VeryWeak,1,VeryWeak
dextrothyroxine sodium,137-53-1,1,VeryWeak,1,VeryWeak
THYROXINE SODIUM,6106-07-6,1,VeryWeak,1,VeryWeak
DEXTROTHYROXINE SODIUM,7054-08-2,1,VeryWeak,1,VeryWeak
Liotrix,8065-29-0,1,VeryWeak,1,VeryWeak
Thyradin,50809-32-0,1,VeryWeak,1,VeryWeak
6-Propyl-2-thiouracil,51-52-5,0,Suspicious,0,Suspicious
Atropine,51-55-8,0,Inactive,0,Inactive
Atropine sulfate anhydrous (2:1) salt,55-48-1,0,Inactive,0,Inactive
Atropine sulfate monohydrate,5908-99-6,0,Inactive,0,Inactive
Hyoscyamine,101-31-5,0,Inactive,0,Inactive
hyoscyamine sulphate,620-61-1,0,Inactive,0,Inactive
Hyoscyamine Sulfate,6835-16-1,0,Inactive,0,Inactive
Homatropine HBr,51-56-9,0,Inactive,0,Inactive
dl-Homatropine methylbromide,80-49-9,0,Inactive,0,Inactive
dl-Homatropine,87-00-3,0,Inactive,0,Inactive
S-(+)-Methamphetamine hydrochloride,51-57-0,0,Inactive,0,Inactive
Methamphetamine hydrochloride,300-42-5,0,Inactive,0,Inactive
Methamphetamine,537-46-2,0,Inactive,0,Inactive
dl-Methamphetamine hydrochloride,4298-16-2,0,Inactive,0,Inactive
dl-Methamphetamine,7632-10-2,0,Inactive,0,Inactive
(-)-methyl(?-methylphenethyl)amine,33817-09-3,0,Inactive,0,Inactive
"BENZENEETHANAMINE, N,b-DIMETHYL-",93-88-9,0,Inactive,0,Inactive
Dopamine,51-61-6,1,VeryWeak,1,VeryWeak
Dopamine hydrochloride,62-31-7,1,VeryWeak,1,VeryWeak
"1,2-Benzenediol, 4-(2-aminoethyl)-, hydrobromide",645-31-8,1,VeryWeak,1,VeryWeak
Dextroamphetamine sulfate,51-63-8,0,Inactive,0,Inactive
Dextroamphetamine,51-64-9,0,Inactive,0,Inactive
Amphetamine sulfate,60-13-9,0,Inactive,0,Inactive
Amphetamine,300-62-9,0,Inactive,0,Inactive
D-Amphetamine-d3 hemisulfate,119039-59-7,0,Inactive,0,Inactive
?-methylphenethylamine,60-15-1,0,Inactive,0,Inactive
levamfetamine,156-34-3,0,Inactive,0,Inactive
DEXTROAMPHETAMINE HCL,1462-73-3,0,Inactive,0,Inactive
(+-)-Benzedrine,17108-96-2,0,Inactive,0,Inactive
AMPHETAMINE SULFATE,645-53-4,0,Inactive,0,Inactive
4-Fluoro-dl-phenylalanine,51-65-0,0,Inactive,0,Inactive
N-(4-Methoxyphenyl)acetamide,51-66-1,0,Inactive,0,Inactive
Tyramine,51-67-2,1,VeryWeak,1,Moderate
Tyramine hydrochloride,60-19-5,1,VeryWeak,1,Moderate
Meclofenoxate,51-68-3,0,Inactive,0,Inactive
Meclofenoxate hydrochloride,3685-84-5,0,Inactive,0,Inactive
Phenelzine,51-71-8,0,Inactive,0,Inactive
Phenylethylhydrazine sulfate,156-51-4,0,Inactive,0,Inactive
Nitrogen mustard,51-75-2,0,Inactive,0,Inactive
Nitrogen mustard hydrochloride,55-86-7,0,Inactive,0,Inactive
Gefarnate,51-77-4,0,Inactive,0,Inactive
Urethane,51-79-6,0,Inactive,0,Inactive
Carbachol,51-83-2,0,Inactive,0,Inactive
Carbamylcholine,462-58-8,0,Inactive,0,Inactive
Tetramethylammonium,51-92-3,0,Inactive,0,Inactive
Tetramethylammonium chloride,75-57-0,0,Inactive,0,Inactive
"Methanaminium, N,N,N-trimethyl-, hydroxide",75-59-2,0,Inactive,0,Inactive
tetramethylammonium bromide,64-20-0,0,Inactive,0,Inactive
tetramethylammonium fluoride tetrahydrate,373-68-2,0,Inactive,0,Inactive
tetramethylammonium nitrate,1941-24-8,0,Inactive,0,Inactive
tetramethylammonium acetate,10581-12-1,0,Inactive,0,Inactive
tetramethylammonium octahydrotriborate,12386-10-6,0,Inactive,0,Inactive
Tetramethylammonium iodide,75-58-1,0,Inactive,0,Inactive
"Methanaminium, N,N,N-trimethyl-, formate",59138-84-0,0,Inactive,0,Inactive
tetramethylazanium,14190-16-0,0,Inactive,0,Inactive
Norethindrone acetate,51-98-9,1,VeryWeak,1,Strong
Norlestrin,8015-12-1,1,VeryWeak,1,Strong
Spironolactone,52-01-7,0,Suspicious,0,Suspicious
Prednisolone acetate,52-21-1,1,VeryWeak,1,VeryWeak
Thiotepa,52-24-4,0,Inactive,0,Inactive
Codeine phosphate,52-28-8,0,Inactive,0,Inactive
Codeine,76-57-3,0,Inactive,0,Inactive
Codeine hydrochloride,1422-07-7,0,Inactive,0,Inactive
codeine sulphate,1420-53-7,0,Inactive,0,Inactive
"Codeine, phosphate, sesquihydrate",5913-76-8,0,Inactive,0,Inactive
Codeine Phosphate,41444-62-6,0,Inactive,0,Inactive
Cyclobarbital,52-31-3,0,Inactive,0,Inactive
Aldosterone,52-39-1,1,VeryWeak,1,Weak
Allobarbital,52-43-7,0,Inactive,0,Inactive
Trihexyphenidyl hydrochloride,52-49-3,0,Inactive,0,Inactive
Trihexyphenidyl,144-11-6,0,Inactive,0,Inactive
Bronopol,52-51-7,0,Inactive,0,Inactive
1-Aminocyclopentanecarboxylic acid,52-52-8,0,Inactive,0,Inactive
Verapamil,52-53-9,0,Inactive,0,Inactive
Verapamil hydrochloride,152-11-4,0,Inactive,0,Inactive
"(+)-3-(3,4-dimethoxyphenyl)-6-[(5,6-dimethoxyphenethyl)methylamino]hexane-3-carbonitrile",38321-02-7,0,Inactive,0,Inactive
Pentolinium ditartrate,52-62-0,0,Inactive,0,Inactive
Pentolinium,144-44-5,0,Inactive,0,Inactive
DL-Penicillamine,52-66-4,0,Inactive,0,Inactive
D-Penicillamine,52-67-5,0,Inactive,0,Inactive
Penicillamine hydrochloride,2219-30-9,0,Inactive,0,Inactive
Penicillamine L-form,1113-41-3,0,Inactive,0,Inactive
Trichlorfon,52-68-6,0,Inactive,0,Inactive
Lynestrenol,52-76-6,1,Weak,1,Strong
Norethandrolone,52-78-8,1,Weak,1,Strong
Famphur,52-85-7,0,Inactive,0,Inactive
Haloperidol,52-86-8,0,Inactive,0,Inactive
Methylatropine nitrate,52-88-0,0,Inactive,0,Inactive
Atropine methylbromide,2870-71-5,0,Inactive,0,Inactive
Methylatropine,31610-87-4,0,Inactive,0,Inactive
l-Cysteine hydrochloride,52-89-1,0,Inactive,0,Inactive
L-Cysteine,52-90-4,0,Inactive,0,Inactive
DL-Cysteine,3374-22-9,0,Inactive,0,Inactive
D-Cysteine,921-01-7,0,Inactive,0,Inactive
"L-Cysteine, hydrochloride, hydrate (1:1:1)",7048-04-6,0,Inactive,0,Inactive
Prednisone,53-03-2,1,VeryWeak,1,Weak
Cortisone,53-06-5,1,VeryWeak,1,Weak
CORTISONE ACETATE,50-04-4,1,VeryWeak,1,Weak
Estrone,53-16-7,1,Strong,1,Strong
"o,p'-DDD",53-19-0,1,VeryWeak,1,Weak
Paramethasone,53-33-8,1,Moderate,1,Weak
Fluprednisolone,53-34-9,1,Moderate,1,Weak
Methylprednisolone acetate,53-36-1,1,Weak,1,VeryWeak
Oxandrolone,53-39-4,1,Weak,1,Strong
Androsterone,53-41-8,1,Weak,1,Strong
Aetiocholanolone,53-42-9,1,Weak,1,Strong
3-?-hydroxy-5-?-androstan-17-one,481-29-8,1,Weak,1,Strong
Epietiocholanolone,571-31-3,1,Weak,1,Strong
Dehydroepiandrosterone,53-43-0,1,Weak,1,Strong
3-Hydroxyandrost-5-en-17-one,2691-68-1,1,Weak,1,Strong
3-Deoxy-estrone,53-45-2,1,Weak,1,Strong
Methantheline bromide,53-46-3,0,Inactive,0,Inactive
Methantheline,5818-17-7,0,Inactive,0,Inactive
Promazine hydrochloride,53-60-1,0,Inactive,0,Inactive
Promazine,58-40-2,0,Inactive,0,Inactive
17-Deoxyestradiol,53-63-4,1,Strong,1,Strong
"Dibenz(a,h)anthracene",53-70-3,1,Weak,1,Weak
Puromycin,53-79-2,0,Inactive,0,Inactive
Puromycin dihydrochloride,58-58-2,0,Inactive,0,Inactive
Nadide,53-84-9,0,Inactive,0,Inactive
Indomethacin,53-86-1,0,Inactive,0,Inactive
N-Hydroxy-2-acetylaminofluorene,53-95-2,0,Suspicious,0,Suspicious
2-Acetylaminofluorene,53-96-3,0,Suspicious,0,Suspicious
Nicotine,54-11-5,0,Inactive,0,Inactive
Nicotine sulfate,65-30-5,0,Inactive,0,Inactive
Nicotine hydrochloride,2820-51-1,0,Inactive,0,Inactive
dl-Nicotine,22083-74-5,0,Inactive,0,Inactive
D-Nicotine,25162-00-9,0,Inactive,0,Inactive
nicotine dihydrogen ditartrate,65-31-6,0,Inactive,0,Inactive
"Pyridine, 3-(1-methyl-2-pyrrolidinyl)-, (S)-, [S-(R*,R*)]-2,3-dihydroxybutanedioate (1:2)",1421-32-5,0,Inactive,0,Inactive
"Pyridine, 3-(1-methyl-2-pyrrolidinyl)-, (S)-, [R-(R*,R*)]-2,3-dihyroxybutanedioate",3275-73-8,0,Inactive,0,Inactive
"Pyridine, 3-[(2S)-1-methyl-2-pyrrolidinyl]-, dihydrochloride",6019-02-9,0,Inactive,0,Inactive
"lactic acid, compound with (S)-3-(1-methylpyrrolidin-2-yl)pyridine (1:1)",14474-00-1,0,Inactive,0,Inactive
"Pyridine, 3-(1-methyl-2-pyrrolidinyl)-, monohydrochloride (S)-",21361-93-3,0,Inactive,0,Inactive
nicotine monomethiodide,22083-76-7,0,Inactive,0,Inactive
(S)-nicotine citrate,73086-01-8,0,Inactive,0,Inactive
(S)-nicotine dicitrate,88660-51-9,0,Inactive,0,Inactive
bis[(S)-nicotine] citrate,94006-00-5,0,Inactive,0,Inactive
nicotinium molybdophosphate resin,104062-50-2,0,Inactive,0,Inactive
"[1,1-Biphenyl]-3-carboxylic acid, 2-hydroxy-, compound with (S)-3-(1-methyl-2-pyrrolidinyl)pyridine (1:1)",5456-02-0,0,Inactive,0,Inactive
dl-Tryptophan,54-12-6,0,Inactive,0,Inactive
l-Tryptophan,73-22-3,0,Inactive,0,Inactive
d-Tryptophan,153-94-6,0,Inactive,0,Inactive
Sodium salicylate,54-21-7,0,Inactive,0,Suspicious
Salicylic acid,69-72-7,0,Inactive,0,Suspicious
Trolamine salicylate,2174-16-5,0,Inactive,0,Suspicious
Zinc salicylate,16283-36-6,0,Inactive,0,Suspicious
STRONTIUM SALICYLATE,526-26-1,0,Inactive,0,Suspicious
ammonium salicylate,528-94-9,0,Inactive,0,Suspicious
lithium salicylate,552-38-5,0,Inactive,0,Suspicious
potassium salicylate,578-36-9,0,Inactive,0,Suspicious
calcium disalicylate,824-35-1,0,Inactive,0,Suspicious
choline salicylate,2016-36-6,0,Inactive,0,Suspicious
disodium salicylate,13639-21-9,0,Inactive,0,Suspicious
"tris(salicylato-O1,O2)aluminium",15479-57-9,0,Inactive,0,Suspicious
magnesium disalicylate,18917-89-0,0,Inactive,0,Suspicious
imidazole-2-hydroxybenzoate,36364-49-5,0,Inactive,0,Suspicious
"Poly(oxy-1,2-ethanediyl), ?-(carboxymethyl)-?-(octadecyloxy)-, sodium salt",38815-90-6,0,Inactive,0,Suspicious
dilithium salicylate,38970-76-2,0,Inactive,0,Suspicious
"Benzoic acid, 2-hydroxy-, compd. with 4-chlorobenzenamine (1:1)",53404-66-3,0,Inactive,0,Suspicious
"salicylic acid, compound with 2-aminoethanol (1:1)",59866-70-5,0,Inactive,0,Suspicious
"Benzoic acid, 2-hydroxy-, mono-C14-18-alkyl derivs., sulfurized, calcium salts (2:1)",111905-47-6,0,Inactive,0,Suspicious
"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,7,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, (2R)-",54-28-4,1,VeryWeak,0,Suspicious
gamma-Tocopherol,7616-22-0,1,VeryWeak,0,Suspicious
Camylofin,54-30-8,0,Inactive,0,Inactive
Furosemide,54-31-9,0,Inactive,0,Inactive
Moxisylyte,54-32-0,0,Inactive,0,Inactive
Moxisylyte hydrochloride,964-52-3,0,Inactive,0,Inactive
Metyrapone,54-36-4,0,Inactive,0,Inactive
Idoxuridine,54-42-2,0,Inactive,0,Inactive
IDOXURIDINE,1336-77-2,0,Inactive,0,Inactive
Pyridoxal phosphate,54-47-7,0,Inactive,0,Inactive
