Chem_name,CAS,consensus_2_agonist,Potency_class_2_agonist,consensus_2_antagonist,Potency_class_2_antagonist
isoflupredone,338-95-4,1,Moderate,1,Weak
gilutensin,341-00-4,1,VeryWeak,0,Suspicious
?-2-diamino-?-oxobenzenebutyric acid,343-65-7,0,Inactive,0,Inactive
L-KYNURENINE,2922-83-0,0,Inactive,0,Inactive
"4,4-DIFLUOROBENZOPHENONE",345-92-6,1,VeryWeak,1,Weak
2-Fluoroaniline,348-54-9,0,Inactive,0,Inactive
3-(trifluoromethyl)acetophenone,349-76-8,0,Suspicious,0,Inactive
"2,2,2-trifluoroethyl methacrylate",352-87-4,0,Inactive,0,Inactive
1-bromo-3-fluoropropane,352-91-0,0,Inactive,0,Inactive
3-aminopropionaldehyde,352-92-1,0,Inactive,0,Inactive
N-FORMYLETHYLAMINE,627-45-2,0,Inactive,0,Inactive
guanidinoacetic acid,352-97-6,0,Inactive,0,Inactive
fluoroethane,353-36-6,0,Inactive,0,Inactive
tribromofluoromethane,353-54-8,0,Inactive,0,Inactive
bromodichlorofluoromethane,353-58-2,0,Inactive,0,Inactive
"1,2-dibromo-1,1,2-trifluoroethane",354-04-1,0,Inactive,0,Inactive
"1-bromo-2-chloro-1,1,2-trifluoroethane",354-06-3,0,Inactive,0,Inactive
"1,1,2,2-tetrachloro-1-fluoroethane",354-14-3,0,Inactive,0,Inactive
"1,2-Dichloro-1,2,2-trifluoroethane",354-15-4,0,Inactive,0,Inactive
"Ethane, 2-bromo-1-chloro-1,1,2-trifluoro-",354-20-1,0,Inactive,0,Inactive
"1,2,2-trichloro-1,1-difluoroethane",354-21-2,0,Inactive,0,Inactive
"1,1,1-tribromo-2,2,2-trifluoroethane",354-48-3,0,Inactive,0,Inactive
"1,2-dibromo-1-chloro-1,2,2-trifluoroethane",354-51-8,0,Inactive,0,Inactive
bromopentafluoroethane,354-55-2,0,Inactive,0,Inactive
pentachlorofluoroethane,354-56-3,0,Inactive,0,Inactive
"1,1,1,2,3,3,3-heptafluoro-2-(trifluoromethyl)propane",354-92-7,0,Inactive,0,Inactive
decafluorobutane,355-25-9,0,Inactive,0,Inactive
"trideca-1,1,1,2,2,3,3,4,4,5,5,6,6-fluorohexane",355-37-3,0,Inactive,0,Inactive
perfluorohexadecane,355-49-7,0,Inactive,0,Inactive
spirilene,357-66-4,0,Inactive,0,Inactive
phetharbital,357-67-5,0,Inactive,0,Inactive
hexapropymate,358-52-1,0,Inactive,0,Inactive
isopentenyl pyrophosphate,358-71-4,0,Inactive,0,Inactive
Dimethylallyl Diphosphate,358-72-5,0,Inactive,0,Inactive
"1,2-dibromo-1-fluoroethane",358-97-4,0,Inactive,0,Inactive
"1-chloro-1,2-difluoroethylene",359-04-6,0,Inactive,0,Inactive
"2-Bromo-1,1-difluoroethane",359-07-9,0,Inactive,0,Inactive
"2-bromo-1,1-difluoroethylene",359-08-0,0,Inactive,0,Inactive
"2-chloro-1,1-difluoroethylene",359-10-4,0,Inactive,0,Inactive
"ETHANE, 1,1,2-TRICHLORO-2-FLUORO-",359-28-4,0,Inactive,0,Inactive
trifluoroiodoethylene,359-37-5,0,Inactive,0,Inactive
Glycodeoxycholic Acid,360-65-6,1,VeryWeak,0,Suspicious
"sodium N-[(3?,5?,12?)-3,12-dihydroxy-24-oxocholan-24-yl]aminoacetate",16409-34-0,1,VeryWeak,0,Suspicious
4-aminoimidazole-5-carboxamide,360-97-4,0,Inactive,0,Inactive
2-hydroxyestrone,362-06-1,1,Strong,1,Strong
"3-hydroxy-2-methoxyestra-1,3,5(10)-trien-17-one",362-08-3,1,Moderate,1,Strong
BENHEPAZONE,363-13-3,0,Inactive,0,Inactive
"15-keto-13,14-dihydroprostaglandin E2",363-23-5,0,Inactive,0,Inactive
Thymidine-5-Phosphate,365-07-1,0,Inactive,0,Inactive
thymidine 5-(tetrahydrogen triphosphate),365-08-2,0,Inactive,0,Inactive
3-methyl-L-histidine,368-16-1,0,Inactive,0,Inactive
"2,6-Piperidinedione, 4-[2-(3,5-dimethyl-2-oxocyclohexylidene)ethyl]-, (3S-trans)-",368-19-4,0,Inactive,0,Inactive
triethyloxonium tetrafluoroborate(1-),368-39-8,0,Inactive,0,Inactive
2-nitrophenyl-beta-D-galactopyranoside,369-07-3,0,Inactive,0,Inactive
pholedrine,370-14-9,1,VeryWeak,1,Moderate
"N,N-oxalylbis(cyclohexanone hydrazone)",370-81-0,0,Suspicious,0,Suspicious
L-Citrulline,372-75-8,0,Inactive,0,Inactive
1-fluorohexane,373-14-8,0,Inactive,0,Inactive
Octamethylenediamine,373-44-4,0,Inactive,0,Inactive
bromofluoromethane,373-52-4,0,Inactive,0,Inactive
trifluoro(methanol)boron,373-57-9,0,Inactive,0,Inactive
dihydrogen bis(acetato-O)difluoroborate(1-),373-61-5,0,Inactive,0,Inactive
heptafluorobutyric acid,375-22-4,0,Inactive,0,Inactive
"1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulphonyl fluoride",375-72-4,0,Inactive,0,Inactive
heptacosafluorotetradecanoic acid,376-06-7,0,Inactive,0,Inactive
perfluoroisobutylene,382-21-8,0,Inactive,0,Inactive
dicolin,382-82-1,0,Inactive,0,Inactive
2-[butyl[(heptadecafluorooctyl)sulphonyl]amino]ethyl acrylate,383-07-3,0,Inactive,0,Inactive
"2-Propenoic acid, 2-[butyl[(heptadecafluorooctyl) sulfonyl]amino]ethyl ester, telomer with 2-[butyl[(pentadecafluoroheptyl) sulfonyl]amino]ethyl 2-propenoate, methyloxirane polymer with oxirane di-2-propenoate, methyloxirane polymer with oxirane mono-2-prop",68298-62-4,0,Inactive,0,Inactive
S-ethyl trifluorothioacetate,383-64-2,0,Inactive,0,Inactive
"3-?,17-?-dihydroxypregn-5-en-20-one",387-79-1,1,VeryWeak,1,Strong
metofenazate,388-51-2,0,Inactive,0,Inactive
troxonium tosylate,391-70-8,0,Inactive,0,Inactive
4-amino-3-fluorophenol,399-95-1,0,Suspicious,0,Suspicious
retinoyl glucuronide,401-10-5,0,Inactive,0,Inactive
4-fluoroacetophenone,403-42-9,0,Suspicious,0,Suspicious
3-Fluorotyrosine,403-90-7,0,Suspicious,0,Suspicious
nidroxyzone,405-22-1,0,Inactive,0,Inactive
4-fluorophenylacetic acid,405-50-5,0,Suspicious,0,Suspicious
"Butane, 1,1,1,3,3-pentafluoro-",406-58-6,0,Inactive,0,Inactive
fluroxene,406-90-6,0,Inactive,0,Inactive
1-bromo-4-(trifluoromethoxy)benzene,407-14-7,0,Inactive,0,Inactive
trifluoroacetic anhydride,407-25-0,0,Inactive,0,Inactive
gamma-butyrobetaine,407-64-7,0,Inactive,0,Inactive
"1-Bromo-1,1-difluoroethane",420-47-3,0,Inactive,0,Inactive
"1-chloro-1,1,2-trifluoroethane",421-04-5,0,Inactive,0,Inactive
"2-bromo-1,1,1-trifluoroethane",421-06-7,0,Inactive,0,Inactive
C3H2F5Br,422-01-5,0,Inactive,0,Inactive
Heptachlorofluoropropane,422-78-6,0,Inactive,0,Inactive
"1-chloro-1,1,2,2,3,3,3-heptafluoropropane",422-86-6,0,Inactive,0,Inactive
2-[ethyl[(heptadecafluorooctyl)sulphonyl]amino]ethyl acrylate,423-82-5,0,Inactive,0,Inactive
Desomorphine,427-00-9,1,VeryWeak,1,VeryWeak
atromepine,428-07-9,0,Inactive,0,Inactive
profadol,428-37-5,0,Suspicious,0,Suspicious
"trimethoxy(3,3,3-trifluoropropyl)silane",429-60-7,0,Inactive,0,Inactive
"2,4,6,8-tetramethyl-2,4,6,8-tetrakis(3,3,3-trifluoropropyl)cyclotetrasiloxane",429-67-4,0,Suspicious,0,Suspicious
"1,1-Dichloro-2-fluoroethane",430-53-5,0,Inactive,0,Inactive
"ETHANE, 1,2-DICHLORO-1-FLUORO-",430-57-9,0,Inactive,0,Inactive
"1,2-dichloro-1-fluoroethylene",430-58-0,0,Inactive,0,Inactive
"1,1,2-trifluoroethane",430-66-0,0,Inactive,0,Inactive
"1,1-dibromo-2,2-difluoroethylene",430-85-3,0,Inactive,0,Inactive
"1,2-dichloro-1,2-difluoroethane",431-06-1,0,Inactive,0,Inactive
"1-chloro-1,2,2-trifluoroethane",431-07-2,0,Inactive,0,Inactive
"2,3-Dibromo-1,1,1-trifluoropropane",431-21-0,0,Inactive,0,Inactive
"1,1,1,2,3,3-hexafluoropropane",431-63-0,0,Inactive,0,Inactive
"2,6,6-trimethylcyclohex-2-ene-1-carbaldehyde",432-24-6,0,Inactive,0,Inactive
"7,8-didehydrocholesterol",434-16-2,1,VeryWeak,1,VeryWeak
"9?,10?-cholesta-5,7-dien-3?-ol",5226-01-7,1,VeryWeak,1,VeryWeak
pentorex,434-43-5,0,Inactive,0,Inactive
2-chloro-6-fluorobenzoic acid,434-75-3,0,Inactive,0,Inactive
inproquone,436-40-8,0,Inactive,0,Inactive
chlordiazepoxide hydrochloride,438-41-5,0,Inactive,0,Inactive
"2,3,4,5,6-Pentafluorobenzyl Alcohol",440-60-8,0,Inactive,0,Inactive
benzoinoxime,441-38-3,0,Suspicious,0,Suspicious
Ethylmethylthiambutene,441-61-2,0,Inactive,0,Inactive
ANISOPIROL,442-03-5,0,Inactive,0,Inactive
"4-chloro-?,?,?-trifluoro-o-toluidine",445-03-4,0,Inactive,0,Inactive
"Benzoic acid, 2-fluoro-",445-29-4,0,Inactive,0,Inactive
Pyridoxine-5-Phosphate,447-05-2,0,Inactive,0,Inactive
AZAPROCIN,448-34-0,0,Inactive,0,Inactive
deuteroporphyrin-IX,448-65-7,0,Inactive,0,Inactive
ZINC00145757,450-29-3,0,Inactive,0,Inactive
"(2,5-dihydroxyphenyl)acetic acid",451-13-8,1,VeryWeak,1,VeryWeak
D 970,451-71-8,0,Inactive,0,Inactive
HOMARYLAMINE,451-77-4,0,Inactive,0,Inactive
DICHLOROPHENARSINE,455-83-4,0,Inactive,0,Inactive
4-nitrobenzenediazonium tetrafluoroborate,456-27-9,0,Inactive,0,Inactive
neoarsphenamine,457-60-3,0,Inactive,0,Inactive
4-hydroxy-3-methoxycinnamylic alcohol,458-35-5,1,Weak,1,VeryWeak
4-hydroxy-3-methoxycinnamaldehyde,458-36-6,1,Weak,1,VeryWeak
Mitoguazone,459-86-9,0,Inactive,0,Inactive
"3,3-(1-methylethane-1,2-diylidene)dicarbazamidine dihydrochloride",7059-23-6,0,Inactive,0,Inactive
1-chloro-2-fluoroethylene,460-16-2,0,Inactive,0,Inactive
"Propane, 1,3-dibromo-1,1-difluoro-",460-25-3,0,Inactive,0,Inactive
"3-BROMO-1,1,1-TRIFLUOROPROPANE",460-32-2,0,Inactive,0,Inactive
"4,4-dithiobis[2-aminobutyric] acid",462-10-2,0,Inactive,0,Inactive
"[S-(R*,R*)]-4,4-dithiobis[2-aminobutyric] acid",626-72-2,0,Inactive,0,Inactive
Dihydrolipoic Acid,462-20-4,0,Inactive,0,Inactive
N-carbamoyl-beta-alanine,462-88-4,0,Inactive,0,Inactive
pentamethylenediamine,462-94-2,0,Inactive,0,Inactive
4-guanidinobutyric acid,463-00-3,0,Inactive,0,Inactive
thiocarbonyl chloride,463-71-8,0,Inactive,0,Inactive
"3,3-dimethylbutan-2-ol",464-07-3,0,Inactive,0,Inactive
"2-Butanol, 3,3-dimethyl-, (.+-.)-",20281-91-8,0,Inactive,0,Inactive
Camphane,464-15-3,0,Suspicious,0,Suspicious
endo-2-chlorobornane,464-41-5,0,Inactive,0,Inactive
asiatic acid,464-92-6,0,Suspicious,0,Suspicious
"16?-acetoxy-3?-(2,6-dideoxy-3-O-methyl-L-arabino-hexopyranosyloxy)-14-hydroxycard-20(22)-enolide",465-16-7,0,Suspicious,0,Inactive
camphene hydrate,465-31-6,0,Suspicious,0,Suspicious
"(3R,3S,5R)-3,3-dihydroxy-?,?-caroten-6-one",465-42-9,0,Suspicious,0,Suspicious
CYCLOPREGNOL,465-53-2,1,VeryWeak,1,Weak
IBROTAMIDE,466-14-8,0,Inactive,0,Inactive
isomethadone,466-40-0,0,Inactive,0,Inactive
Isomethadone d-form hydrochloride,63814-06-2,0,Inactive,0,Inactive
thebacon,466-90-0,0,Inactive,0,Inactive
"(5?)-7,8-didehydro-4,5-epoxy-3-hydroxy-17-methylmorphinan-6-one",467-02-7,1,VeryWeak,1,Weak
"(5?)-6,7,8,14-tetradehydro-4,5-epoxy-6-methoxy-17-methylmorphinan-3-ol",467-04-9,1,Weak,1,Weak
Myrophine,467-18-5,0,Inactive,0,Inactive
thialbarbital,467-36-7,0,Inactive,0,Inactive
THIOTETRABARBITAL,467-38-9,0,Inactive,0,Inactive
methitural,467-43-6,0,Inactive,0,Inactive
flurenol,467-69-6,0,Suspicious,0,Suspicious
"9H-FLUORENE-9-CARBOXYLIC AICD, 2-CHLORO-9-HYDROX",2464-37-1,0,Suspicious,0,Suspicious
phenadoxone,467-84-5,0,Inactive,0,Inactive
Dioxaphetyl butyrate,467-86-7,0,Inactive,0,Inactive
5-methylpyrithyldione,467-90-3,0,Inactive,0,Inactive
phenomorphan,468-07-5,1,Weak,1,Moderate
Betameprodine,468-50-8,0,Inactive,0,Inactive
Alphameprodine,468-51-9,0,Inactive,0,Inactive
hydroxypethidine,468-56-4,0,Suspicious,0,Suspicious
Metheptazine and its salts,469-78-3,0,Inactive,0,Inactive
ketobemidone,469-79-4,1,Weak,1,VeryWeak
PHENERIDINE,469-80-7,0,Inactive,0,Inactive
morpheridine,469-81-8,0,Inactive,0,Inactive
Etoxeridine,469-82-9,0,Inactive,0,Inactive
"2,4-Dihydroxy-3,3-Dimethyl-Butyrate",470-29-1,0,Inactive,0,Inactive
"[1aS-(1a?,4a?,8aR*)]-1,1a,4,4a,5,6,7,8-octahydro-2,4a,8,8-tetramethylcyclopropa[d]naphthalene",470-40-6,1,VeryWeak,1,VeryWeak
