protein,ideal_ligand,native_ligand,CNN_pose,CNN_VS,RMSD
1G50,93413-69-5_min,EST_redock_1G50,0.4394,2.8491,inf
1G50,2631-40-5_min,EST_redock_1G50,0.4378,2.5137,inf
1G50,42542-10-9_min,EST_redock_1G50,0.4371,2.1016,inf
1G50,58-73-1_min,EST_redock_1G50,0.4133,2.2654,inf
1G50,122-34-9_min,EST_redock_1G50,0.3527,1.9751,inf
1G50,34911-55-2_min,EST_redock_1G50,0.3520,2.0138,inf
1G50,3930-20-9_min,EST_redock_1G50,0.3520,1.9460,inf
1G50,58955-93-4_min,EST_redock_1G50,0.3469,1.8533,inf
1G50,541-02-6_min,EST_redock_1G50,0.3222,1.2026,inf
1G50,97-39-2_min,EST_redock_1G50,0.3199,2.0175,inf
1G50,7432-28-2_min,EST_redock_1G50,0.3065,1.9340,inf
1G50,525-66-6_min,EST_redock_1G50,0.2978,1.7134,inf
1G50,66722-44-9_min,EST_redock_1G50,0.2783,1.7761,inf
1G50,5051-22-9_min,EST_redock_1G50,0.2241,1.2566,inf
1G50,16287-71-1_min,EST_redock_1G50,0.2139,1.4104,inf
1G50,134523-00-5_min,EST_redock_1G50,0.2123,1.2242,inf
1G50,125-71-3_min,EST_redock_1G50,0.2005,1.1843,inf
1GWR,53-16-7_min,EST_redock_1GWR,0.9822,7.8385,0.5596
1GWR,50-28-2_min,EST_redock_1GWR,0.9745,8.0174,0.5655
1GWR,57-91-0_min,EST_redock_1GWR,0.9668,7.8644,0.6383
1GWR,5696-58-2_min,EST_redock_1GWR,0.9662,7.4162,0.6563
1GWR,50-27-1_min,EST_redock_1GWR,0.9648,7.7691,0.6353
1GWR,474-86-2_min,EST_redock_1GWR,0.9642,7.9817,1.1412
1GWR,53-43-0_min,EST_redock_1GWR,0.9541,7.5693,0.6697
1GWR,481-29-8_min,EST_redock_1GWR,0.9532,7.5485,0.5731
1GWR,53-63-4_min,EST_redock_1GWR,0.9529,7.4093,inf
1GWR,362-05-0_min,EST_redock_1GWR,0.9509,7.5672,0.6660
1GWR,5976-61-4_min,EST_redock_1GWR,0.9451,7.4589,0.5155
1GWR,84-16-2_min,EST_redock_1GWR,0.9303,7.5015,inf
1GWR,84057-84-1_min,EST_redock_1GWR,0.9277,6.6756,inf
1GWR,57-63-6_min,EST_redock_1GWR,0.9230,7.7560,0.8461
1GWR,56-53-1_min,EST_redock_1GWR,0.9072,7.3987,inf
1GWR,34816-55-2_min,EST_redock_1GWR,0.9062,7.6419,0.8820
1GWR,84-17-3_min,EST_redock_1GWR,0.8836,7.1948,inf
1GWR,738-70-5_min,EST_redock_1GWR,0.8701,6.6198,inf
1GWR,103-90-2_min,EST_redock_1GWR,0.8563,3.8765,inf
1GWR,28721-07-5_min,EST_redock_1GWR,0.8507,5.4820,inf
1GWR,93413-62-8_min,EST_redock_1GWR,0.8456,6.1526,inf
1GWR,298-46-4_min,EST_redock_1GWR,0.8376,5.4301,inf
1GWR,85-68-7_min,EST_redock_1GWR,0.8233,5.2142,inf
1GWR,876-04-0_min,EST_redock_1GWR,0.8223,3.8724,inf
1GWR,301-02-0_min,EST_redock_1GWR,0.8181,6.3705,inf
1GWR,95-14-7_min,EST_redock_1GWR,0.8066,2.9804,inf
1GWR,36507-30-9_min,EST_redock_1GWR,0.7319,4.4539,inf
1GWR,72-33-3_min,EST_redock_1GWR,0.7287,5.6263,0.8627
1GWR,2631-40-5_min,EST_redock_1GWR,0.7064,4.2057,inf
1GWR,2163-68-0_min,EST_redock_1GWR,0.7048,3.9505,inf
1GWR,144-83-2_min,EST_redock_1GWR,0.6974,4.2578,inf
1GWR,7374-53-0_min,EST_redock_1GWR,0.6950,3.8930,inf
1GWR,134-62-3_min,EST_redock_1GWR,0.6838,3.2645,inf
1GWR,126-73-8_min,EST_redock_1GWR,0.6834,2.7372,inf
1GWR,15569-85-4_min,EST_redock_1GWR,0.6748,3.4614,inf
1GWR,34911-55-2_min,EST_redock_1GWR,0.6707,4.2124,inf
1GWR,34014-18-1_min,EST_redock_1GWR,0.6648,4.2847,inf
1GWR,2243-62-1_min,EST_redock_1GWR,0.6613,2.8963,inf
1GWR,58-73-1_min,EST_redock_1GWR,0.6611,3.8773,inf
1GWR,104746-04-5_min,EST_redock_1GWR,0.6120,3.7904,inf
1GWR,29331-92-8_min,EST_redock_1GWR,0.6120,3.7904,inf
1GWR,58-08-2_min,EST_redock_1GWR,0.5858,2.7587,inf
1GWR,54-11-5_min,EST_redock_1GWR,0.5844,2.9130,inf
1GWR,42542-10-9_min,EST_redock_1GWR,0.5739,3.0682,inf
1GWR,537-46-2_min,EST_redock_1GWR,0.5656,2.3340,inf
1GWR,18684-55-4_min,EST_redock_1GWR,0.5481,3.6429,inf
1GWR,14800-24-9_min,EST_redock_1GWR,0.5470,1.9868,inf
1GWR,58955-93-4_min,EST_redock_1GWR,0.5220,3.0700,inf
1GWR,60207-90-1_min,EST_redock_1GWR,0.5153,3.6499,inf
1GWR,601-57-0_min,EST_redock_1GWR,0.5131,4.0586,inf
1GWR,10605-21-7_min,EST_redock_1GWR,0.5113,2.2093,inf
1GWR,525-66-6_min,EST_redock_1GWR,0.5039,3.1826,inf
1GWR,5051-22-9_min,EST_redock_1GWR,0.4871,2.9664,inf
1GWR,93413-69-5_min,EST_redock_1GWR,0.4699,3.0238,inf
1GWR,122-34-9_min,EST_redock_1GWR,0.4588,2.4799,inf
1GWR,1222-05-5_min,EST_redock_1GWR,0.4488,2.9060,inf
1GWR,3930-20-9_min,EST_redock_1GWR,0.4332,2.6656,inf
1GWR,1912-24-9_min,EST_redock_1GWR,0.4140,2.3214,inf
1GWR,7432-28-2_min,EST_redock_1GWR,0.3995,2.6108,inf
1GWR,107534-96-3_min,EST_redock_1GWR,0.3962,2.7589,inf
1GWR,69335-91-7_min,EST_redock_1GWR,0.3798,2.3552,inf
1GWR,16287-71-1_min,EST_redock_1GWR,0.3743,2.2601,inf
1GWR,97-39-2_min,EST_redock_1GWR,0.3732,2.3162,inf
1GWR,540-97-6_min,EST_redock_1GWR,0.3581,1.4842,inf
1GWR,66722-44-9_min,EST_redock_1GWR,0.3200,1.8379,inf
1GWR,541-02-6_min,EST_redock_1GWR,0.3011,1.1706,inf
1GWR,134523-00-5_min,EST_redock_1GWR,0.1836,1.3129,inf
1GWR,125-71-3_min,EST_redock_1GWR,0.1516,0.8737,inf
3ERD,56-53-1_min,DES_redock_3ERD,0.9887,8.2980,0.3397
3ERD,84-17-3_min,DES_redock_3ERD,0.9884,8.2362,0.7300
3ERD,84-16-2_min,DES_redock_3ERD,0.9880,8.2135,0.4568
3ERD,53-16-7_min,DES_redock_3ERD,0.9816,7.7830,inf
3ERD,53-43-0_min,DES_redock_3ERD,0.9789,7.9046,inf
3ERD,481-29-8_min,DES_redock_3ERD,0.9733,7.8354,inf
3ERD,50-28-2_min,DES_redock_3ERD,0.9714,7.6719,inf
3ERD,53-63-4_min,DES_redock_3ERD,0.9713,7.5022,inf
3ERD,474-86-2_min,DES_redock_3ERD,0.9713,7.7439,inf
3ERD,5696-58-2_min,DES_redock_3ERD,0.9708,7.4048,inf
3ERD,57-91-0_min,DES_redock_3ERD,0.9688,7.4139,inf
3ERD,50-27-1_min,DES_redock_3ERD,0.9466,7.4772,inf
3ERD,5976-61-4_min,DES_redock_3ERD,0.9324,7.2842,inf
3ERD,84057-84-1_min,DES_redock_3ERD,0.9260,6.6749,inf
3ERD,362-05-0_min,DES_redock_3ERD,0.9173,7.0007,inf
3ERD,57-63-6_min,DES_redock_3ERD,0.8851,7.0307,inf
3ERD,34816-55-2_min,DES_redock_3ERD,0.8837,7.0519,inf
3ERD,301-02-0_min,DES_redock_3ERD,0.8718,6.7910,inf
3ERD,738-70-5_min,DES_redock_3ERD,0.8704,6.5768,inf
3ERD,95-14-7_min,DES_redock_3ERD,0.8471,3.3400,inf
3ERD,107534-96-3_min,DES_redock_3ERD,0.8043,5.8998,inf
3ERD,103-90-2_min,DES_redock_3ERD,0.8031,4.1330,inf
3ERD,876-04-0_min,DES_redock_3ERD,0.7844,3.8585,inf
3ERD,15569-85-4_min,DES_redock_3ERD,0.7567,4.1008,inf
3ERD,93413-62-8_min,DES_redock_3ERD,0.7405,5.2532,inf
3ERD,2631-40-5_min,DES_redock_3ERD,0.7400,4.3456,inf
3ERD,28721-07-5_min,DES_redock_3ERD,0.7043,4.4218,inf
3ERD,54-11-5_min,DES_redock_3ERD,0.6869,3.5740,inf
3ERD,134-62-3_min,DES_redock_3ERD,0.6857,3.4703,inf
3ERD,42542-10-9_min,DES_redock_3ERD,0.6849,3.7821,inf
3ERD,298-46-4_min,DES_redock_3ERD,0.6784,4.3388,inf
3ERD,144-83-2_min,DES_redock_3ERD,0.6500,3.8968,inf
3ERD,85-68-7_min,DES_redock_3ERD,0.6483,3.7779,inf
3ERD,29331-92-8_min,DES_redock_3ERD,0.6401,3.9671,inf
3ERD,104746-04-5_min,DES_redock_3ERD,0.6401,3.9671,inf
3ERD,126-73-8_min,DES_redock_3ERD,0.6239,2.6375,inf
3ERD,36507-30-9_min,DES_redock_3ERD,0.6138,3.9449,inf
3ERD,69335-91-7_min,DES_redock_3ERD,0.6122,4.3428,inf
3ERD,3930-20-9_min,DES_redock_3ERD,0.6012,4.0287,inf
3ERD,58-08-2_min,DES_redock_3ERD,0.5979,2.8703,inf
3ERD,60207-90-1_min,DES_redock_3ERD,0.5944,4.0645,inf
3ERD,34014-18-1_min,DES_redock_3ERD,0.5912,3.7053,inf
3ERD,2243-62-1_min,DES_redock_3ERD,0.5781,2.6751,inf
3ERD,2163-68-0_min,DES_redock_3ERD,0.5572,3.1365,inf
3ERD,72-33-3_min,DES_redock_3ERD,0.5496,4.1718,inf
3ERD,10605-21-7_min,DES_redock_3ERD,0.5128,2.7210,inf
3ERD,1222-05-5_min,DES_redock_3ERD,0.5113,3.3783,inf
3ERD,537-46-2_min,DES_redock_3ERD,0.4877,2.4575,inf
3ERD,58-73-1_min,DES_redock_3ERD,0.4640,2.7428,inf
3ERD,601-57-0_min,DES_redock_3ERD,0.4602,3.5602,inf
3ERD,34911-55-2_min,DES_redock_3ERD,0.4573,2.7272,inf
3ERD,14800-24-9_min,DES_redock_3ERD,0.4543,1.9084,inf
3ERD,5051-22-9_min,DES_redock_3ERD,0.4340,2.7913,inf
3ERD,18684-55-4_min,DES_redock_3ERD,0.4168,2.6520,inf
3ERD,1912-24-9_min,DES_redock_3ERD,0.4156,2.5055,inf
3ERD,540-97-6_min,DES_redock_3ERD,0.4061,1.8398,inf
3ERD,7432-28-2_min,DES_redock_3ERD,0.4056,2.6088,inf
3ERD,97-39-2_min,DES_redock_3ERD,0.3872,2.4372,inf
3ERD,541-02-6_min,DES_redock_3ERD,0.3687,1.6497,inf
3ERD,125-71-3_min,DES_redock_3ERD,0.3592,2.3359,inf
3ERD,58955-93-4_min,DES_redock_3ERD,0.3547,1.9689,inf
3ERD,122-34-9_min,DES_redock_3ERD,0.3430,2.0260,inf
3ERD,7374-53-0_min,DES_redock_3ERD,0.3405,1.9830,inf
3ERD,16287-71-1_min,DES_redock_3ERD,0.3352,2.3978,inf
3ERD,93413-69-5_min,DES_redock_3ERD,0.3140,2.0398,inf
3ERD,525-66-6_min,DES_redock_3ERD,0.3082,1.8444,inf
3ERD,66722-44-9_min,DES_redock_3ERD,0.2605,1.5448,inf
3ERD,134523-00-5_min,DES_redock_3ERD,0.1573,1.0717,inf
3UU7,84057-84-1_min,2OH_redock_3UU7,0.9666,7.0498,inf
3UU7,474-86-2_min,2OH_redock_3UU7,0.9651,7.8086,inf
3UU7,84-16-2_min,2OH_redock_3UU7,0.9636,7.8570,inf
3UU7,53-16-7_min,2OH_redock_3UU7,0.9212,7.3523,inf
3UU7,50-28-2_min,2OH_redock_3UU7,0.9157,7.3176,inf
3UU7,53-43-0_min,2OH_redock_3UU7,0.9128,7.3308,inf
3UU7,56-53-1_min,2OH_redock_3UU7,0.8968,7.0476,inf
3UU7,53-63-4_min,2OH_redock_3UU7,0.8845,6.8252,inf
3UU7,60207-90-1_min,2OH_redock_3UU7,0.8713,6.3283,inf
3UU7,57-91-0_min,2OH_redock_3UU7,0.8664,6.8845,inf
3UU7,481-29-8_min,2OH_redock_3UU7,0.8625,6.8288,inf
3UU7,5976-61-4_min,2OH_redock_3UU7,0.8438,6.3208,inf
3UU7,5696-58-2_min,2OH_redock_3UU7,0.8329,6.3002,inf
3UU7,50-27-1_min,2OH_redock_3UU7,0.8279,6.5745,inf
3UU7,738-70-5_min,2OH_redock_3UU7,0.8235,6.1407,inf
3UU7,84-17-3_min,2OH_redock_3UU7,0.8125,6.5460,inf
3UU7,2631-40-5_min,2OH_redock_3UU7,0.8106,4.7929,inf
