protein,ideal_ligand,native_ligand,CNN_pose,CNN_VS,RMSD
3UUD,15569-85-4_min,EST_redock_3UUD,0.7290,3.8754,inf
3UUD,134-62-3_min,EST_redock_3UUD,0.7230,3.6650,inf
3UUD,2243-62-1_min,EST_redock_3UUD,0.6983,3.1993,inf
3UUD,2163-68-0_min,EST_redock_3UUD,0.6957,3.8323,inf
3UUD,58-08-2_min,EST_redock_3UUD,0.6743,3.4597,inf
3UUD,104746-04-5_min,EST_redock_3UUD,0.6506,4.1810,inf
3UUD,29331-92-8_min,EST_redock_3UUD,0.6506,4.1810,inf
3UUD,54-11-5_min,EST_redock_3UUD,0.6489,3.1500,inf
3UUD,34014-18-1_min,EST_redock_3UUD,0.6462,4.0543,inf
3UUD,58-73-1_min,EST_redock_3UUD,0.6356,3.5991,inf
3UUD,36507-30-9_min,EST_redock_3UUD,0.6207,3.9204,inf
3UUD,298-46-4_min,EST_redock_3UUD,0.6089,3.8611,inf
3UUD,537-46-2_min,EST_redock_3UUD,0.6032,2.7489,inf
3UUD,144-83-2_min,EST_redock_3UUD,0.5871,3.6053,inf
3UUD,69335-91-7_min,EST_redock_3UUD,0.5790,3.6264,inf
3UUD,7374-53-0_min,EST_redock_3UUD,0.5659,3.1997,inf
3UUD,18684-55-4_min,EST_redock_3UUD,0.5562,3.6595,inf
3UUD,1222-05-5_min,EST_redock_3UUD,0.5426,3.6814,inf
3UUD,60207-90-1_min,EST_redock_3UUD,0.5426,4.0146,inf
3UUD,28721-07-5_min,EST_redock_3UUD,0.5147,3.2994,inf
3UUD,58955-93-4_min,EST_redock_3UUD,0.5122,3.0730,inf
3UUD,14800-24-9_min,EST_redock_3UUD,0.5053,1.7861,inf
3UUD,42542-10-9_min,EST_redock_3UUD,0.4638,2.4324,inf
3UUD,34911-55-2_min,EST_redock_3UUD,0.4557,2.7964,inf
3UUD,72-33-3_min,EST_redock_3UUD,0.4481,3.3446,0.6682
3UUD,10605-21-7_min,EST_redock_3UUD,0.4365,2.3685,inf
3UUD,107534-96-3_min,EST_redock_3UUD,0.4062,2.9075,inf
3UUD,97-39-2_min,EST_redock_3UUD,0.3636,2.3179,inf
3UUD,3930-20-9_min,EST_redock_3UUD,0.3524,2.1276,inf
3UUD,93413-69-5_min,EST_redock_3UUD,0.3519,2.2497,inf
3UUD,1912-24-9_min,EST_redock_3UUD,0.3514,1.9885,inf
3UUD,134523-00-5_min,EST_redock_3UUD,0.3508,2.3890,inf
3UUD,66722-44-9_min,EST_redock_3UUD,0.3484,2.2149,inf
3UUD,5051-22-9_min,EST_redock_3UUD,0.3467,2.0708,inf
3UUD,541-02-6_min,EST_redock_3UUD,0.3390,1.4188,inf
3UUD,525-66-6_min,EST_redock_3UUD,0.3358,2.0427,inf
3UUD,122-34-9_min,EST_redock_3UUD,0.3084,1.6781,inf
3UUD,540-97-6_min,EST_redock_3UUD,0.2835,1.1429,inf
3UUD,16287-71-1_min,EST_redock_3UUD,0.2199,1.5630,inf
3UUD,125-71-3_min,EST_redock_3UUD,0.2184,1.3513,inf
3UUD,7432-28-2_min,EST_redock_3UUD,0.1878,1.1671,inf
4MG8,53-16-7_min,27J_redock_4MG8,0.9834,7.8600,inf
4MG8,474-86-2_min,27J_redock_4MG8,0.9801,8.0075,inf
