CAS,CID,MolecularFormula,MolecularWeight,IUPACName
1845-11-0,4416,C29H31NO2,425.6,"1-[2-[4-(6-methoxy-2-phenyl-3,4-dihydronaphthalen-1-yl)phenoxy]ethyl]pyrrolidine"
603-45-2,5100,C19H14O3,290.3,"4-[bis(4-hydroxyphenyl)methylidene]cyclohexa-2,5-dien-1-one"
5394-98-9,219592,C14H10O6,274.22,"1,2-bis(2,4-dihydroxyphenyl)ethane-1,2-dione"
77-40-7,66166,C16H18O2,242.31,4-[2-(4-hydroxyphenyl)butan-2-yl]phenol
659-22-3,5282363,C14H12O2,212.24,4-[(E)-2-(4-hydroxyphenyl)ethenyl]phenol
140-66-9,8814,C14H22O,206.32,"4-(2,4,4-trimethylpentan-2-yl)phenol"
25154-52-3,67296,C15H24O,220.35,2-nonylphenol
2971-36-0,76302,C14H11Cl3O2,317.6,"4-[2,2,2-trichloro-1-(4-hydroxyphenyl)ethyl]phenol"
500-38-9,4534,C18H22O4,302.4,"4-[4-(3,4-dihydroxyphenyl)-2,3-dimethylbutyl]benzene-1,2-diol"
3434-79-5,242862,C19H26O3,302.4,"(8R,9S,13S,14S,16S,17R)-3-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-16,17-diol"
68-23-5,6231,C20H26O2,298.4,"(8R,9S,13S,14S,17R)-17-ethynyl-17-hydroxy-13-methyl-1,2,4,6,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one"
911-45-5,2800,C26H28ClNO,406.0,"2-[4-(2-chloro-1,2-diphenylethenyl)phenoxy]-N,N-diethylethanamine"
6052-84-2,80152,C14H14O2,214.26,4-[2-(4-hydroxyphenyl)ethyl]phenol
53905-28-5,91653,C12H8Cl2O,239.09,"4-(2,5-dichlorophenyl)phenol"
77-09-8,4764,C20H14O4,318.3,"3,3-bis(4-hydroxyphenyl)-2-benzofuran-1-one"
28463-03-8,183679,C15H13Cl3O2,331.6,"4-[2,2,2-trichloro-1-(4-methoxyphenyl)ethyl]phenol"
67651-34-7,105101,C12H6Cl4O,308.0,"4-(2,3,4,5-tetrachlorophenyl)phenol"
5153-25-3,107377,C15H22O3,250.33,2-ethylhexyl 4-hydroxybenzoate
143-50-0,299,C10Cl10O,490.6,"1,2,3,4,6,7,8,9,10,10-decachloropentacyclo[5.3.0.02,6.03,9.04,8]decan-5-one"
7773-34-4,3032539,C20H24O2,296.4,1-methoxy-4-[(E)-4-(4-methoxyphenyl)hex-3-en-3-yl]benzene
571-20-0,242332,C19H32O2,292.5,"(3S,5S,8R,9S,10S,13S,14S,17S)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,17-diol"
104-43-8,66030,C18H30O,262.4,4-dodecylphenol
75938-34-0,156639,C15H12Cl2O2,295.2,"4-[2,2-dichloro-1-(4-methoxyphenyl)ethenyl]phenol"
3601-97-6,251869,C18H22O2,270.4,"(8S,9S,13R,14S)-3-hydroxy-13-methyl-7,8,9,11,12,14,15,17-octahydro-6H-cyclopenta[a]phenanthren-16-one"
5108-94-1,5282364,C20H28O3,316.4,"(8R,9S,13S,14S,16S,17R)-3-methoxy-13,16-dimethyl-7,8,9,11,12,14,15,17-octahydro-6H-cyclopenta[a]phenanthrene-16,17-diol"
