ideal_ligand,protein,native_ligand,CNN_pose,CNN_VS,RMSD
115-29-7_min,4MGC,27M_redock_4MGC,0.7838,5.4520,inf
115-29-7_min,4MG8,27J_redock_4MG8,0.7749,5.5493,inf
115-29-7_min,1ERE,EST_redock_1ERE,0.7344,5.1837,inf
115-29-7_min,1ERE,EST_redock_1ERE,0.7344,5.1837,inf
115-29-7_min,4MGA,27L_redock_4MGA,0.7008,5.0329,inf
115-29-7_min,4ZN7,DES_redock_4ZN7,0.6951,5.0141,inf
115-29-7_min,4TUZ,36J_redock_4TUZ,0.6892,4.9065,inf
115-29-7_min,1G50,EST_redock_1G50,0.6604,4.7815,inf
115-29-7_min,6CBZ,EST_redock_6CBZ,0.6367,4.2973,inf
115-29-7_min,3UUD,EST_redock_3UUD,0.6301,4.4246,inf
115-29-7_min,3UU7,2OH_redock_3UU7,0.6061,4.1199,inf
115-29-7_min,1GWR,EST_redock_1GWR,0.6008,4.1979,inf
115-29-7_min,3ERD,DES_redock_3ERD,0.5834,3.8639,inf
115-29-7_min,4MG9,27K_redock_4MG9,0.5505,3.8439,inf
115-86-6_min,4MG9,27K_redock_4MG9,0.6947,4.1805,inf
115-86-6_min,1GWR,EST_redock_1GWR,0.6021,3.8088,inf
115-86-6_min,3UU7,2OH_redock_3UU7,0.5912,3.7311,inf
115-86-6_min,6CBZ,EST_redock_6CBZ,0.5781,3.5107,inf
115-86-6_min,4ZN7,DES_redock_4ZN7,0.4850,2.9954,inf
115-86-6_min,3ERD,DES_redock_3ERD,0.4649,2.6800,inf
115-86-6_min,4TUZ,36J_redock_4TUZ,0.4355,2.6261,inf
115-86-6_min,4MG8,27J_redock_4MG8,0.4297,2.6712,inf
115-86-6_min,3UUD,EST_redock_3UUD,0.4280,2.5988,inf
115-86-6_min,1ERE,EST_redock_1ERE,0.4138,2.5317,inf
115-86-6_min,1G50,EST_redock_1G50,0.2899,1.7410,inf
115-86-6_min,4MGA,27L_redock_4MGA,0.2897,1.8099,inf
115-86-6_min,4MGC,27M_redock_4MGC,0.2867,1.6885,inf
120-47-8_min,1GWR,EST_redock_1GWR,0.9436,4.6439,inf
120-47-8_min,4ZN7,DES_redock_4ZN7,0.9376,4.7526,inf
120-47-8_min,1G50,EST_redock_1G50,0.9297,5.3716,inf
120-47-8_min,3ERD,DES_redock_3ERD,0.9271,4.8805,inf
120-47-8_min,3UUD,EST_redock_3UUD,0.9237,4.6204,inf
120-47-8_min,6CBZ,EST_redock_6CBZ,0.9124,4.6831,inf
120-47-8_min,1ERE,EST_redock_1ERE,0.9114,4.7961,inf
120-47-8_min,4MGA,27L_redock_4MGA,0.9112,4.8176,inf
120-47-8_min,4MG9,27K_redock_4MG9,0.9093,4.8292,inf
120-47-8_min,3UU7,2OH_redock_3UU7,0.9088,4.2532,inf
120-47-8_min,4MG8,27J_redock_4MG8,0.9029,4.4285,inf
120-47-8_min,4MGC,27M_redock_4MGC,0.8918,4.8189,inf
120-47-8_min,4TUZ,36J_redock_4TUZ,0.8869,4.5772,inf
123-07-9_min,4ZN7,DES_redock_4ZN7,0.9300,4.7560,inf
123-07-9_min,1GWR,EST_redock_1GWR,0.9126,4.7021,inf
123-07-9_min,6CBZ,EST_redock_6CBZ,0.9113,4.7479,inf
123-07-9_min,3ERD,DES_redock_3ERD,0.9090,4.7723,inf
123-07-9_min,1G50,EST_redock_1G50,0.9043,4.6273,inf
123-07-9_min,4MGC,27M_redock_4MGC,0.8926,4.5430,inf
123-07-9_min,4MGA,27L_redock_4MGA,0.8912,4.5533,inf
123-07-9_min,4MG9,27K_redock_4MG9,0.8898,4.3773,inf
123-07-9_min,4MG8,27J_redock_4MG8,0.8888,4.3904,inf
123-07-9_min,3UUD,EST_redock_3UUD,0.8867,4.0067,inf
123-07-9_min,1ERE,EST_redock_1ERE,0.8835,4.2661,inf
123-07-9_min,4TUZ,36J_redock_4TUZ,0.8780,4.3578,inf
123-07-9_min,3UU7,2OH_redock_3UU7,0.8773,4.2621,inf
131-57-7_min,4ZN7,DES_redock_4ZN7,0.7202,4.5629,inf
131-57-7_min,3UU7,2OH_redock_3UU7,0.6846,4.0550,inf
131-57-7_min,3UUD,EST_redock_3UUD,0.6293,3.8357,inf
131-57-7_min,1G50,EST_redock_1G50,0.5987,3.5123,inf
131-57-7_min,4MGC,27M_redock_4MGC,0.5947,3.6411,inf
131-57-7_min,1GWR,EST_redock_1GWR,0.5613,3.1560,inf
131-57-7_min,6CBZ,EST_redock_6CBZ,0.5594,3.2271,inf
131-57-7_min,3ERD,DES_redock_3ERD,0.5369,3.1590,inf
131-57-7_min,4MG9,27K_redock_4MG9,0.5365,2.9083,inf
131-57-7_min,4MG8,27J_redock_4MG8,0.5094,2.9528,inf
131-57-7_min,1ERE,EST_redock_1ERE,0.5081,2.7736,inf
131-57-7_min,4MGA,27L_redock_4MGA,0.5043,2.9476,inf
131-57-7_min,4TUZ,36J_redock_4TUZ,0.4822,2.8291,inf
140-10-3_min,4MGA,27L_redock_4MGA,0.7546,3.5976,inf
140-10-3_min,1G50,EST_redock_1G50,0.7466,3.4214,inf
140-10-3_min,1GWR,EST_redock_1GWR,0.7277,3.2065,inf
140-10-3_min,3ERD,DES_redock_3ERD,0.7102,3.3741,inf
140-10-3_min,4MG9,27K_redock_4MG9,0.7083,2.5657,inf
140-10-3_min,1ERE,EST_redock_1ERE,0.6965,3.1918,inf
140-10-3_min,3UU7,2OH_redock_3UU7,0.6617,2.7875,inf
140-10-3_min,6CBZ,EST_redock_6CBZ,0.6414,2.7930,inf
140-10-3_min,4MGC,27M_redock_4MGC,0.6350,2.9337,inf
140-10-3_min,3UUD,EST_redock_3UUD,0.6298,2.8707,inf
140-10-3_min,4ZN7,DES_redock_4ZN7,0.6282,2.9545,inf
140-10-3_min,4TUZ,36J_redock_4TUZ,0.6083,2.6781,inf
140-10-3_min,4MG8,27J_redock_4MG8,0.5798,2.6491,inf
1570-64-5_min,4ZN7,DES_redock_4ZN7,0.9087,4.4604,inf
1570-64-5_min,6CBZ,EST_redock_6CBZ,0.9050,4.2782,inf
1570-64-5_min,4TUZ,36J_redock_4TUZ,0.8959,4.2141,inf
1570-64-5_min,1GWR,EST_redock_1GWR,0.8763,3.9193,inf
1570-64-5_min,4MGA,27L_redock_4MGA,0.8723,4.3090,inf
1570-64-5_min,3ERD,DES_redock_3ERD,0.8670,4.0107,inf
1570-64-5_min,3UUD,EST_redock_3UUD,0.8600,3.8269,inf
1570-64-5_min,3UU7,2OH_redock_3UU7,0.8535,4.0896,inf
1570-64-5_min,4MGC,27M_redock_4MGC,0.8474,3.7531,inf
1570-64-5_min,4MG9,27K_redock_4MG9,0.8442,3.8066,inf
1570-64-5_min,1ERE,EST_redock_1ERE,0.8414,3.9405,inf
1570-64-5_min,1G50,EST_redock_1G50,0.8369,3.8696,inf
1570-64-5_min,4MG8,27J_redock_4MG8,0.8275,3.5394,inf
207-13-4_min,4ZN7,DES_redock_4ZN7,0.7062,4.3482,inf
207-13-4_min,1GWR,EST_redock_1GWR,0.6882,3.5848,inf
207-13-4_min,3ERD,DES_redock_3ERD,0.6584,3.8026,inf
207-13-4_min,6CBZ,EST_redock_6CBZ,0.6419,3.7233,inf
207-13-4_min,1G50,EST_redock_1G50,0.6329,3.6748,inf
207-13-4_min,3UU7,2OH_redock_3UU7,0.6216,3.6561,inf
207-13-4_min,4MGC,27M_redock_4MGC,0.6199,3.6244,inf
207-13-4_min,3UUD,EST_redock_3UUD,0.6165,3.6370,inf
207-13-4_min,4TUZ,36J_redock_4TUZ,0.6109,3.3262,inf
207-13-4_min,1ERE,EST_redock_1ERE,0.5934,3.1847,inf
207-13-4_min,4MGA,27L_redock_4MGA,0.5764,3.5560,inf
207-13-4_min,4MG8,27J_redock_4MG8,0.5600,3.2357,inf
207-13-4_min,4MG9,27K_redock_4MG9,0.5157,2.7748,inf
34816-55-2_min,1ERE,EST_redock_1ERE,0.9406,7.9502,0.7031
34816-55-2_min,4MG9,27K_redock_4MG9,0.9383,7.6606,inf
34816-55-2_min,1GWR,EST_redock_1GWR,0.8962,7.5657,0.7954
34816-55-2_min,1G50,EST_redock_1G50,0.8945,7.5077,0.8457
34816-55-2_min,3UUD,EST_redock_3UUD,0.8937,7.2525,0.9414
34816-55-2_min,3ERD,DES_redock_3ERD,0.8835,7.0496,inf
34816-55-2_min,6CBZ,EST_redock_6CBZ,0.8790,7.4372,0.9148
34816-55-2_min,4ZN7,DES_redock_4ZN7,0.8617,7.1826,inf
34816-55-2_min,4TUZ,36J_redock_4TUZ,0.8227,6.8276,inf
34816-55-2_min,4MG8,27J_redock_4MG8,0.7695,5.9067,inf
34816-55-2_min,4MGC,27M_redock_4MGC,0.7339,5.7128,inf
34816-55-2_min,3UU7,2OH_redock_3UU7,0.7231,5.7145,inf
34816-55-2_min,4MGA,27L_redock_4MGA,0.6454,4.8668,inf
362-05-0_min,1ERE,EST_redock_1ERE,0.9643,7.6237,0.5648
362-05-0_min,3UUD,EST_redock_3UUD,0.9635,7.6551,0.5940
362-05-0_min,4MG8,27J_redock_4MG8,0.9467,7.3768,inf
362-05-0_min,1GWR,EST_redock_1GWR,0.9459,7.5544,0.6660
362-05-0_min,6CBZ,EST_redock_6CBZ,0.9407,7.5427,0.6157
362-05-0_min,4TUZ,36J_redock_4TUZ,0.9260,7.1458,inf
362-05-0_min,3ERD,DES_redock_3ERD,0.9169,6.9975,inf
362-05-0_min,4ZN7,DES_redock_4ZN7,0.9108,7.2680,inf
362-05-0_min,4MGC,27M_redock_4MGC,0.9006,6.9000,inf
362-05-0_min,4MG9,27K_redock_4MG9,0.8535,6.3229,inf
362-05-0_min,1G50,EST_redock_1G50,0.8258,6.4309,0.9531
362-05-0_min,4MGA,27L_redock_4MGA,0.8040,6.3275,inf
362-05-0_min,3UU7,2OH_redock_3UU7,0.7971,6.1804,inf
474-86-2_min,3UUD,EST_redock_3UUD,0.9871,7.9026,0.7851
474-86-2_min,6CBZ,EST_redock_6CBZ,0.9865,7.9264,0.7749
474-86-2_min,1G50,EST_redock_1G50,0.9850,8.2212,0.5860
474-86-2_min,1ERE,EST_redock_1ERE,0.9836,7.9829,0.7425
474-86-2_min,1GWR,EST_redock_1GWR,0.9811,7.8429,0.6131
474-86-2_min,4MG8,27J_redock_4MG8,0.9801,7.8848,inf
474-86-2_min,3ERD,DES_redock_3ERD,0.9712,7.7435,inf
474-86-2_min,4ZN7,DES_redock_4ZN7,0.9709,8.1320,inf
474-86-2_min,4MG9,27K_redock_4MG9,0.9707,7.6705,inf
474-86-2_min,4TUZ,36J_redock_4TUZ,0.9696,7.7716,inf
474-86-2_min,3UU7,2OH_redock_3UU7,0.9644,7.7984,inf
474-86-2_min,4MGC,27M_redock_4MGC,0.9352,7.2594,inf
474-86-2_min,4MGA,27L_redock_4MGA,0.9305,7.4722,inf
50-27-1_min,3UUD,EST_redock_3UUD,0.9818,8.1333,0.3222
50-27-1_min,6CBZ,EST_redock_6CBZ,0.9749,8.0056,0.4214
50-27-1_min,1ERE,EST_redock_1ERE,0.9717,8.1366,0.4968
50-27-1_min,1GWR,EST_redock_1GWR,0.9653,7.7773,0.6353
50-27-1_min,4ZN7,DES_redock_4ZN7,0.9527,7.9783,inf
50-27-1_min,4MG8,27J_redock_4MG8,0.9511,7.3937,inf
50-27-1_min,3ERD,DES_redock_3ERD,0.9464,7.4761,inf
50-27-1_min,1G50,EST_redock_1G50,0.9398,8.1794,0.3286
50-27-1_min,4TUZ,36J_redock_4TUZ,0.9236,7.4580,inf
50-27-1_min,4MG9,27K_redock_4MG9,0.8417,6.2238,inf
50-27-1_min,3UU7,2OH_redock_3UU7,0.8346,6.5476,inf
50-27-1_min,4MGC,27M_redock_4MGC,0.8344,6.2107,inf
50-27-1_min,4MGA,27L_redock_4MGA,0.7143,5.5038,inf
50-28-2_min,3UUD,EST_redock_3UUD,0.9854,8.0486,0.6127
50-28-2_min,6CBZ,EST_redock_6CBZ,0.9828,8.2749,0.5213
50-28-2_min,1ERE,EST_redock_1ERE,0.9822,8.2022,0.5143
50-28-2_min,4ZN7,DES_redock_4ZN7,0.9759,8.3036,inf
50-28-2_min,1GWR,EST_redock_1GWR,0.9757,8.0060,0.5655
50-28-2_min,3ERD,DES_redock_3ERD,0.9713,7.6705,inf
50-28-2_min,4MG8,27J_redock_4MG8,0.9711,7.7481,inf
50-28-2_min,1G50,EST_redock_1G50,0.9710,8.1383,0.8287
50-28-2_min,4TUZ,36J_redock_4TUZ,0.9624,7.9207,inf
50-28-2_min,4MGC,27M_redock_4MGC,0.9514,7.7115,inf
50-28-2_min,3UU7,2OH_redock_3UU7,0.9144,7.3016,inf
50-28-2_min,4MG9,27K_redock_4MG9,0.8962,6.8804,inf
50-28-2_min,4MGA,27L_redock_4MGA,0.8679,6.9277,inf
53-16-7_min,1G50,EST_redock_1G50,0.9914,8.3167,0.5871
53-16-7_min,3UUD,EST_redock_3UUD,0.9906,7.9378,0.6762
53-16-7_min,1ERE,EST_redock_1ERE,0.9892,8.1751,0.6404
53-16-7_min,6CBZ,EST_redock_6CBZ,0.9867,7.9809,0.5623
53-16-7_min,4ZN7,DES_redock_4ZN7,0.9847,8.0489,inf
53-16-7_min,1GWR,EST_redock_1GWR,0.9834,7.9002,0.5672
53-16-7_min,3ERD,DES_redock_3ERD,0.9815,7.7828,inf
53-16-7_min,4MG8,27J_redock_4MG8,0.9810,7.7809,inf
53-16-7_min,4TUZ,36J_redock_4TUZ,0.9757,7.8031,inf
53-16-7_min,4MG9,27K_redock_4MG9,0.9683,7.5204,inf
53-16-7_min,4MGC,27M_redock_4MGC,0.9655,7.8077,inf
53-16-7_min,3UU7,2OH_redock_3UU7,0.9202,7.3370,inf
53-16-7_min,4MGA,27L_redock_4MGA,0.9109,7.2458,inf
53-19-0_min,3UU7,2OH_redock_3UU7,0.9768,7.1213,inf
53-19-0_min,4MG9,27K_redock_4MG9,0.9705,7.1253,inf
53-19-0_min,6CBZ,EST_redock_6CBZ,0.9621,6.9302,inf
53-19-0_min,1GWR,EST_redock_1GWR,0.9583,6.5813,inf
53-19-0_min,4MG8,27J_redock_4MG8,0.9548,6.6241,inf
53-19-0_min,4ZN7,DES_redock_4ZN7,0.9424,6.5220,inf
53-19-0_min,4MGA,27L_redock_4MGA,0.9409,6.6593,inf
53-19-0_min,3UUD,EST_redock_3UUD,0.9385,6.9522,inf
53-19-0_min,4TUZ,36J_redock_4TUZ,0.9360,6.8136,inf
53-19-0_min,1ERE,EST_redock_1ERE,0.9314,6.4665,inf
53-19-0_min,3ERD,DES_redock_3ERD,0.9268,6.3798,inf
53-19-0_min,4MGC,27M_redock_4MGC,0.9060,6.5676,inf
53-19-0_min,1G50,EST_redock_1G50,0.8723,6.1985,inf
53-63-4_min,3UUD,EST_redock_3UUD,0.9747,7.5643,inf
