ideal_ligand,protein,native_ligand,CNN_pose,CNN_VS,RMSD
53-63-4_min,1ERE,EST_redock_1ERE,0.9726,7.9747,inf
53-63-4_min,3ERD,DES_redock_3ERD,0.9711,7.5014,inf
53-63-4_min,4ZN7,DES_redock_4ZN7,0.9706,7.8708,inf
53-63-4_min,1G50,EST_redock_1G50,0.9664,7.7984,inf
53-63-4_min,6CBZ,EST_redock_6CBZ,0.9655,7.7624,inf
53-63-4_min,4TUZ,36J_redock_4TUZ,0.9591,7.6447,inf
53-63-4_min,1GWR,EST_redock_1GWR,0.9533,7.4062,inf
53-63-4_min,4MG8,27J_redock_4MG8,0.9493,7.1034,inf
53-63-4_min,4MGC,27M_redock_4MGC,0.9458,7.2826,inf
53-63-4_min,4MG9,27K_redock_4MG9,0.9400,7.1698,inf
53-63-4_min,3UU7,2OH_redock_3UU7,0.9010,6.6700,inf
53-63-4_min,4MGA,27L_redock_4MGA,0.8748,6.8362,inf
56-53-1_min,3ERD,DES_redock_3ERD,0.9887,8.2981,0.3397
56-53-1_min,4ZN7,DES_redock_4ZN7,0.9822,8.3102,0.4520
56-53-1_min,4MGC,27M_redock_4MGC,0.9593,7.9418,inf
56-53-1_min,6CBZ,EST_redock_6CBZ,0.9489,7.7508,inf
56-53-1_min,4MGA,27L_redock_4MGA,0.9412,7.4591,inf
56-53-1_min,3UUD,EST_redock_3UUD,0.9345,7.5704,inf
56-53-1_min,4MG8,27J_redock_4MG8,0.9300,7.4188,inf
56-53-1_min,1GWR,EST_redock_1GWR,0.9238,7.4182,inf
56-53-1_min,1ERE,EST_redock_1ERE,0.9161,7.5445,inf
56-53-1_min,3UU7,2OH_redock_3UU7,0.8955,7.0327,inf
56-53-1_min,4TUZ,36J_redock_4TUZ,0.8850,7.1508,inf
56-53-1_min,4MG9,27K_redock_4MG9,0.8776,6.9163,inf
56-53-1_min,1G50,EST_redock_1G50,0.8692,7.0965,inf
57-63-6_min,1ERE,EST_redock_1ERE,0.9551,8.1943,0.7314
57-63-6_min,1GWR,EST_redock_1GWR,0.9276,7.8088,0.8461
57-63-6_min,4MG9,27K_redock_4MG9,0.9256,7.5166,inf
57-63-6_min,3ERD,DES_redock_3ERD,0.8848,7.0288,inf
57-63-6_min,6CBZ,EST_redock_6CBZ,0.8847,7.2684,0.8486
57-63-6_min,3UUD,EST_redock_3UUD,0.8811,7.1818,0.8209
57-63-6_min,4ZN7,DES_redock_4ZN7,0.8756,7.2768,inf
57-63-6_min,1G50,EST_redock_1G50,0.8579,7.1162,1.0527
57-63-6_min,4MG8,27J_redock_4MG8,0.8573,7.0396,inf
57-63-6_min,4TUZ,36J_redock_4TUZ,0.8074,6.6772,inf
57-63-6_min,4MGC,27M_redock_4MGC,0.7631,5.9001,inf
57-63-6_min,4MGA,27L_redock_4MGA,0.7000,5.2915,inf
57-63-6_min,3UU7,2OH_redock_3UU7,0.6108,4.7223,inf
57-91-0_min,3UUD,EST_redock_3UUD,0.9808,7.9545,0.6730
57-91-0_min,1ERE,EST_redock_1ERE,0.9793,8.0664,0.7362
57-91-0_min,6CBZ,EST_redock_6CBZ,0.9777,8.1410,0.6064
57-91-0_min,4ZN7,DES_redock_4ZN7,0.9749,8.0330,inf
57-91-0_min,1G50,EST_redock_1G50,0.9710,7.9504,0.7509
57-91-0_min,1GWR,EST_redock_1GWR,0.9691,7.8731,0.6383
57-91-0_min,3ERD,DES_redock_3ERD,0.9686,7.4130,inf
57-91-0_min,4MG8,27J_redock_4MG8,0.9672,7.5145,inf
57-91-0_min,4TUZ,36J_redock_4TUZ,0.9557,7.8384,inf
57-91-0_min,4MGC,27M_redock_4MGC,0.9374,7.4715,inf
57-91-0_min,4MG9,27K_redock_4MG9,0.9326,7.1688,inf
57-91-0_min,3UU7,2OH_redock_3UU7,0.8648,6.8636,inf
57-91-0_min,4MGA,27L_redock_4MGA,0.8157,6.4730,inf
59-50-7_min,3ERD,DES_redock_3ERD,0.9143,4.7003,inf
59-50-7_min,1GWR,EST_redock_1GWR,0.9080,4.5121,inf
59-50-7_min,4ZN7,DES_redock_4ZN7,0.8905,4.3086,inf
59-50-7_min,1G50,EST_redock_1G50,0.8881,4.5209,inf
59-50-7_min,6CBZ,EST_redock_6CBZ,0.8866,4.3500,inf
59-50-7_min,4MG9,27K_redock_4MG9,0.8841,4.2905,inf
59-50-7_min,3UUD,EST_redock_3UUD,0.8795,4.1582,inf
59-50-7_min,4MG8,27J_redock_4MG8,0.8774,4.3589,inf
59-50-7_min,4MGA,27L_redock_4MGA,0.8722,4.3883,inf
59-50-7_min,4TUZ,36J_redock_4TUZ,0.8653,4.1280,inf
59-50-7_min,1ERE,EST_redock_1ERE,0.8551,4.1751,inf
59-50-7_min,3UU7,2OH_redock_3UU7,0.8429,3.8416,inf
59-50-7_min,4MGC,27M_redock_4MGC,0.8367,3.8569,inf
5976-61-4_min,1G50,EST_redock_1G50,0.9609,7.9733,0.7278
5976-61-4_min,3UUD,EST_redock_3UUD,0.9601,7.7359,0.4087
5976-61-4_min,6CBZ,EST_redock_6CBZ,0.9513,7.5739,0.4482
5976-61-4_min,1GWR,EST_redock_1GWR,0.9486,7.4867,0.5155
5976-61-4_min,1ERE,EST_redock_1ERE,0.9444,7.6083,0.4113
5976-61-4_min,4MG8,27J_redock_4MG8,0.9420,7.4378,inf
5976-61-4_min,3ERD,DES_redock_3ERD,0.9320,7.2818,inf
5976-61-4_min,4ZN7,DES_redock_4ZN7,0.9160,7.4522,inf
5976-61-4_min,4TUZ,36J_redock_4TUZ,0.8999,6.9570,inf
5976-61-4_min,3UU7,2OH_redock_3UU7,0.8426,6.3084,inf
5976-61-4_min,4MGC,27M_redock_4MGC,0.8043,5.9194,inf
5976-61-4_min,4MGA,27L_redock_4MGA,0.7959,5.9748,inf
5976-61-4_min,4MG9,27K_redock_4MG9,0.7589,5.6073,inf
72-33-3_min,1GWR,EST_redock_1GWR,0.7341,5.6437,0.7359
72-33-3_min,4ZN7,DES_redock_4ZN7,0.6648,5.3148,inf
72-33-3_min,6CBZ,EST_redock_6CBZ,0.6139,4.7047,0.7498
72-33-3_min,4MG9,27K_redock_4MG9,0.5994,4.5077,inf
72-33-3_min,3UU7,2OH_redock_3UU7,0.5776,4.4849,inf
72-33-3_min,3UUD,EST_redock_3UUD,0.5591,4.2516,0.8487
72-33-3_min,4MG8,27J_redock_4MG8,0.5500,4.2581,inf
72-33-3_min,3ERD,DES_redock_3ERD,0.5490,4.1680,inf
72-33-3_min,1ERE,EST_redock_1ERE,0.5332,4.0185,0.6474
72-33-3_min,4MGA,27L_redock_4MGA,0.5015,3.7655,inf
72-33-3_min,4TUZ,36J_redock_4TUZ,0.4732,3.5850,inf
72-33-3_min,4MGC,27M_redock_4MGC,0.4502,3.3869,inf
72-33-3_min,1G50,EST_redock_1G50,0.4161,3.0653,1.0459
72-43-5_min,3UU7,2OH_redock_3UU7,0.9196,6.5865,inf
72-43-5_min,4MG9,27K_redock_4MG9,0.9114,6.5028,inf
72-43-5_min,4MGA,27L_redock_4MGA,0.8999,6.5298,inf
72-43-5_min,6CBZ,EST_redock_6CBZ,0.8289,5.6463,inf
72-43-5_min,4MG8,27J_redock_4MG8,0.8052,6.0042,inf
72-43-5_min,4MGC,27M_redock_4MGC,0.8013,5.7776,inf
72-43-5_min,3UUD,EST_redock_3UUD,0.7881,5.5096,inf
72-43-5_min,4TUZ,36J_redock_4TUZ,0.7847,5.5829,inf
72-43-5_min,1ERE,EST_redock_1ERE,0.7792,5.6629,inf
72-43-5_min,4ZN7,DES_redock_4ZN7,0.7397,5.3595,inf
72-43-5_min,3ERD,DES_redock_3ERD,0.7367,5.3330,inf
72-43-5_min,1GWR,EST_redock_1GWR,0.7311,5.1323,inf
72-43-5_min,1G50,EST_redock_1G50,0.6841,4.9678,inf
72-54-8_min,6CBZ,EST_redock_6CBZ,0.9216,6.2066,inf
72-54-8_min,3UU7,2OH_redock_3UU7,0.9123,6.5598,inf
72-54-8_min,4MG9,27K_redock_4MG9,0.9086,6.5315,inf
72-54-8_min,1GWR,EST_redock_1GWR,0.8614,5.9715,inf
72-54-8_min,3UUD,EST_redock_3UUD,0.8544,5.9980,inf
72-54-8_min,4MGC,27M_redock_4MGC,0.8375,5.5222,inf
72-54-8_min,4TUZ,36J_redock_4TUZ,0.8176,5.5600,inf
72-54-8_min,4MGA,27L_redock_4MGA,0.7912,5.1412,inf
72-54-8_min,4MG8,27J_redock_4MG8,0.7844,5.4575,inf
72-54-8_min,1ERE,EST_redock_1ERE,0.7695,5.4623,inf
72-54-8_min,1G50,EST_redock_1G50,0.7547,5.2462,inf
72-54-8_min,3ERD,DES_redock_3ERD,0.7469,4.9804,inf
72-54-8_min,4ZN7,DES_redock_4ZN7,0.7377,4.7963,inf
72-55-9_min,4MG9,27K_redock_4MG9,0.7771,5.4009,inf
72-55-9_min,3UU7,2OH_redock_3UU7,0.7540,4.9514,inf
72-55-9_min,4TUZ,36J_redock_4TUZ,0.7264,4.1496,inf
72-55-9_min,4MG8,27J_redock_4MG8,0.6921,4.7394,inf
72-55-9_min,6CBZ,EST_redock_6CBZ,0.6622,4.4537,inf
72-55-9_min,1GWR,EST_redock_1GWR,0.6408,4.3263,inf
72-55-9_min,4ZN7,DES_redock_4ZN7,0.6342,4.1718,inf
72-55-9_min,4MGA,27L_redock_4MGA,0.6285,3.9786,inf
72-55-9_min,4MGC,27M_redock_4MGC,0.5813,3.3889,inf
72-55-9_min,3UUD,EST_redock_3UUD,0.5579,3.8082,inf
72-55-9_min,3ERD,DES_redock_3ERD,0.5577,3.7327,inf
72-55-9_min,1ERE,EST_redock_1ERE,0.5257,3.5928,inf
72-55-9_min,1G50,EST_redock_1G50,0.5104,3.4400,inf
84-16-2_min,3ERD,DES_redock_3ERD,0.9879,8.2137,0.4568
84-16-2_min,4ZN7,DES_redock_4ZN7,0.9856,8.3801,2.3310
84-16-2_min,3UU7,2OH_redock_3UU7,0.9633,7.8490,inf
84-16-2_min,4MGC,27M_redock_4MGC,0.9624,7.9831,inf
84-16-2_min,3UUD,EST_redock_3UUD,0.9588,7.9279,inf
84-16-2_min,4MG9,27K_redock_4MG9,0.9532,7.6249,inf
84-16-2_min,6CBZ,EST_redock_6CBZ,0.9526,7.7613,inf
84-16-2_min,4MGA,27L_redock_4MGA,0.9516,7.6135,inf
84-16-2_min,4MG8,27J_redock_4MG8,0.9395,7.4591,inf
84-16-2_min,1G50,EST_redock_1G50,0.9395,7.7337,inf
84-16-2_min,1ERE,EST_redock_1ERE,0.9387,7.7570,inf
84-16-2_min,1GWR,EST_redock_1GWR,0.9363,7.3653,inf
84-16-2_min,4TUZ,36J_redock_4TUZ,0.9108,7.2028,inf
84-17-3_min,3ERD,DES_redock_3ERD,0.9884,8.2357,0.7300
84-17-3_min,4ZN7,DES_redock_4ZN7,0.9847,8.4219,0.5522
84-17-3_min,4MGC,27M_redock_4MGC,0.9457,7.7458,inf
84-17-3_min,6CBZ,EST_redock_6CBZ,0.9363,7.7486,inf
84-17-3_min,3UUD,EST_redock_3UUD,0.9232,7.6293,inf
84-17-3_min,1GWR,EST_redock_1GWR,0.8978,7.3574,inf
84-17-3_min,1G50,EST_redock_1G50,0.8950,7.2938,inf
84-17-3_min,4MG8,27J_redock_4MG8,0.8899,7.0531,inf
84-17-3_min,4MGA,27L_redock_4MGA,0.8664,6.8534,inf
84-17-3_min,1ERE,EST_redock_1ERE,0.8609,7.0163,inf
84-17-3_min,4MG9,27K_redock_4MG9,0.8603,6.7628,inf
84-17-3_min,4TUZ,36J_redock_4TUZ,0.8285,6.5446,inf
84-17-3_min,3UU7,2OH_redock_3UU7,0.8109,6.5292,inf
84-69-5_min,6CBZ,EST_redock_6CBZ,0.8888,4.7081,inf
84-69-5_min,3UU7,2OH_redock_3UU7,0.8870,5.0018,inf
84-69-5_min,3UUD,EST_redock_3UUD,0.8853,4.4242,inf
84-69-5_min,4MG8,27J_redock_4MG8,0.8805,4.5104,inf
84-69-5_min,4TUZ,36J_redock_4TUZ,0.8435,4.3547,inf
84-69-5_min,1GWR,EST_redock_1GWR,0.8399,4.5473,inf
84-69-5_min,4MG9,27K_redock_4MG9,0.8071,4.6241,inf
84-69-5_min,4MGA,27L_redock_4MGA,0.8054,3.9533,inf
84-69-5_min,3ERD,DES_redock_3ERD,0.8043,3.9848,inf
84-69-5_min,4MGC,27M_redock_4MGC,0.8036,3.7806,inf
84-69-5_min,1ERE,EST_redock_1ERE,0.7900,4.2486,inf
84-69-5_min,4ZN7,DES_redock_4ZN7,0.7465,3.6003,inf
84-69-5_min,1G50,EST_redock_1G50,0.6449,3.1626,inf
85-68-7_min,4MG9,27K_redock_4MG9,0.9137,5.3846,inf
85-68-7_min,3UUD,EST_redock_3UUD,0.8790,4.9213,inf
85-68-7_min,4MG8,27J_redock_4MG8,0.8466,5.1170,inf
