ideal_ligand,protein,native_ligand,CNN_pose,CNN_VS,RMSD
126-00-1_min,4MGA,27L_redock_4MGA,0.8107,5.4484,inf
126-00-1_min,1ERE,EST_redock_1ERE,0.8078,6.0057,inf
126-00-1_min,6CBZ,EST_redock_6CBZ,0.7957,5.5843,inf
126-00-1_min,3UUD,EST_redock_3UUD,0.7839,5.2444,inf
126-00-1_min,4MG9,27K_redock_4MG9,0.7319,5.0511,inf
126-00-1_min,1G50,EST_redock_1G50,0.7001,5.0991,inf
13037-86-0_min,4ZN7,DES_redock_4ZN7,0.9237,6.2169,inf
13037-86-0_min,1ERE,EST_redock_1ERE,0.9192,6.3882,inf
13037-86-0_min,1G50,EST_redock_1G50,0.9188,6.6819,inf
13037-86-0_min,3ERD,DES_redock_3ERD,0.9043,5.7712,inf
13037-86-0_min,4MGA,27L_redock_4MGA,0.9024,6.0053,inf
13037-86-0_min,6CBZ,EST_redock_6CBZ,0.8945,6.0771,inf
13037-86-0_min,3UUD,EST_redock_3UUD,0.8896,6.0527,inf
13037-86-0_min,4MGC,27M_redock_4MGC,0.8877,5.5960,inf
13037-86-0_min,4MG9,27K_redock_4MG9,0.8841,5.8819,inf
13037-86-0_min,1GWR,EST_redock_1GWR,0.8650,5.5979,inf
13037-86-0_min,4TUZ,36J_redock_4TUZ,0.8293,5.5007,inf
13037-86-0_min,4MG8,27J_redock_4MG8,0.8246,5.3737,inf
13037-86-0_min,3UU7,2OH_redock_3UU7,0.8194,5.2679,inf
131-56-6_min,4ZN7,DES_redock_4ZN7,0.8876,5.2171,inf
131-56-6_min,4MGA,27L_redock_4MGA,0.8855,5.4180,inf
131-56-6_min,4MG9,27K_redock_4MG9,0.8811,5.1205,inf
131-56-6_min,3ERD,DES_redock_3ERD,0.8805,5.2350,inf
131-56-6_min,3UU7,2OH_redock_3UU7,0.8803,5.0651,inf
131-56-6_min,3UUD,EST_redock_3UUD,0.8772,5.1371,inf
131-56-6_min,1GWR,EST_redock_1GWR,0.8627,4.8781,inf
131-56-6_min,1ERE,EST_redock_1ERE,0.8571,5.4926,inf
131-56-6_min,6CBZ,EST_redock_6CBZ,0.8426,4.6158,inf
131-56-6_min,4MG8,27J_redock_4MG8,0.8412,4.7139,inf
131-56-6_min,4MGC,27M_redock_4MGC,0.8169,4.9443,inf
131-56-6_min,4TUZ,36J_redock_4TUZ,0.8075,4.4125,inf
131-56-6_min,1G50,EST_redock_1G50,0.7979,5.0501,inf
140-66-9_min,3ERD,DES_redock_3ERD,0.9545,6.9257,inf
140-66-9_min,4ZN7,DES_redock_4ZN7,0.9535,6.7941,inf
140-66-9_min,4MGA,27L_redock_4MGA,0.9521,6.9427,2.8516
140-66-9_min,1ERE,EST_redock_1ERE,0.9506,6.8079,inf
140-66-9_min,3UUD,EST_redock_3UUD,0.9499,6.7288,inf
140-66-9_min,3UU7,2OH_redock_3UU7,0.9458,6.7080,inf
140-66-9_min,1G50,EST_redock_1G50,0.9353,6.9021,inf
140-66-9_min,4MGC,27M_redock_4MGC,0.9352,6.4243,inf
140-66-9_min,4MG9,27K_redock_4MG9,0.9242,6.3496,inf
140-66-9_min,1GWR,EST_redock_1GWR,0.9051,6.1798,inf
140-66-9_min,6CBZ,EST_redock_6CBZ,0.8989,6.2708,inf
140-66-9_min,4MG8,27J_redock_4MG8,0.8972,5.5907,inf
140-66-9_min,4TUZ,36J_redock_4TUZ,0.8887,6.2716,inf
143-50-0_min,1G50,EST_redock_1G50,0.7217,6.0359,inf
143-50-0_min,4MG8,27J_redock_4MG8,0.7158,6.0767,inf
143-50-0_min,3UUD,EST_redock_3UUD,0.6710,5.6862,inf
